GbGDiv simplified results table from 'accumulate-5.txt' records table.
Isolate records read from table: 1280

Locus	Missing	Paralogous	CountNuc
id	0	0	1280	
isolate	0	0	1280	
rMLST_database_accession	0	0	1280	
BACT000001	3	0	35	
BACT000002	35	0	14	
BACT000003	120	0	19	
BACT000004	12	0	10	
BACT000005	25	0	11	
BACT000006	0	0	8	
BACT000007	4	0	10	
BACT000008	5	0	8	
BACT000009	2	0	15	
BACT000010	0	0	4	
BACT000011	10	0	8	
BACT000012	0	0	11	
BACT000013	2	0	9	
BACT000014	1	1163	2	
BACT000015	1	0	5	
BACT000016	12	0	15	
BACT000017	8	0	12	
BACT000018	0	1001	3	
BACT000019	0	0	5	
BACT000020	1	0	8	
BACT000021	1280	0	0	
BACT000030	8	332	14	
BACT000031	1	0	12	
BACT000032	3	0	11	
BACT000033	35	0	14	
BACT000034	4	0	14	
BACT000035	2	0	9	
BACT000036	73	0	11	
BACT000038	2	0	11	
BACT000039	5	0	12	
BACT000040	147	0	6	
BACT000042	1	0	12	
BACT000043	0	0	11	
BACT000044	9	0	6	
BACT000045	1	0	9	
BACT000046	1	0	18	
BACT000047	15	0	6	
BACT000048	0	0	11	
BACT000049	1	0	11	
BACT000050	5	0	7	
BACT000051	35	0	12	
BACT000052	1	0	5	
BACT000053	2	0	5	
BACT000056	0	0	5	
BACT000057	1	1239	3	
BACT000058	0	0	6	
BACT000059	0	0	4	
BACT000060	2	0	2	
BACT000061	1	0	8	
BACT000062	0	1075	5	
BACT000063	1	0	5	
BACT000064	0	0	6	
BACT000065	1	0	1	
MYCO000001	11	0	53	
MYCO000005	7	0	64	
MYCO000006	9	0	98	
MYCO000009	4	0	13	
MYCO000011	0	0	10	
MYCO000013	0	0	28	
MYCO000015	271	0	34	
MYCO000016	19	0	35	
MYCO000017	12	0	32	
MYCO000019	1	0	20	
MYCO000038	85	0	13	
MYCO000046	2	0	25	
MYCO000047	4	0	16	
MYCO000049	9	0	16	
MYCO000050	143	0	74	
MYCO000051	113	0	48	
MYCO000054	49	0	16	
MYCO000066	7	0	63	
MYCO000068	34	0	39	
MYCO000129	12	0	20	
MYCO000183	61	0	21	
MYCO000184	58	0	15	
MYCO000189	160	0	30	
MYCO000198	8	0	57	
MYCO000204	38	0	26	
MYCO000207	3	0	21	
MYCO000211	14	0	53	
MYCO000223	124	0	33	
MYCO000225	6	0	19	
MYCO000227	133	0	35	
MYCO000228	20	0	30	
MYCO000236	287	0	70	
MYCO000237	35	0	34	
MYCO000238	2	0	15	
MYCO000241	6	0	26	
MYCO000242	219	0	28	
MYCO000243	102	0	28	
MYCO000244	23	635	40	
MYCO000247	3	0	15	
MYCO000248	3	0	26	
MYCO000270	12	0	51	
MYCO000274	81	0	19	
MYCO000321	2	0	9	
MYCO000322	11	0	23	
MYCO000334	2	0	13	
MYCO000337	12	0	21	
MYCO000350	21	0	27	
MYCO000352	137	0	22	
MYCO000357	4	0	22	
MYCO000360	56	0	16	
MYCO000383	241	0	14	
MYCO000384	165	0	36	
MYCO000407	58	0	19	
MYCO000410	41	0	46	
MYCO000411	25	0	20	
MYCO000414	277	0	14	
MYCO000415	278	0	22	
MYCO000417	82	301	17	
MYCO000423	10	0	25	
MYCO000429	4	0	11	
MYCO000432	0	0	13	
MYCO000433	6	0	18	
MYCO000439	47	0	18	
MYCO000440	16	0	20	
MYCO000462	4	0	20	
MYCO000465	14	0	36	
MYCO000466	7	0	13	
MYCO000467	3	0	20	
MYCO000468	17	0	11	
MYCO000472	3	0	12	
MYCO000475	36	0	15	
MYCO000483	18	0	22	
MYCO000484	12	0	21	
MYCO000486	65	0	24	
MYCO000489	194	0	14	
MYCO000490	14	0	25	
MYCO000491	1	0	9	
MYCO000495	3	0	19	
MYCO000496	17	0	20	
MYCO000498	18	0	23	
MYCO000501	11	0	24	
MYCO000502	11	0	14	
MYCO000505	299	0	16	
MYCO000509	27	0	36	
MYCO000510	20	0	17	
MYCO000512	29	0	20	
MYCO000524	103	0	18	
MYCO000527	32	0	14	
MYCO000528	183	0	26	
MYCO000529	36	0	26	
MYCO000548	10	0	9	
MYCO000551	47	0	35	
MYCO000553	113	0	17	
MYCO000555	125	0	18	
MYCO000557	16	0	34	
MYCO000558	60	0	11	
MYCO000562	4	0	24	
MYCO000563	27	0	24	
MYCO000564	15	0	27	
MYCO000566	2	0	13	
MYCO000636	3	0	13	
MYCO000639	54	0	13	
MYCO000647	49	0	26	
MYCO000655	8	0	24	
MYCO000667	76	0	118	
MYCO000668	49	0	115	
MYCO000672	51	0	39	
MYCO000684	21	0	45	
MYCO000685	6	0	12	
MYCO000693	115	0	20	
MYCO000696	25	0	29	
MYCO000732	2	0	26	
MYCO000733	1	0	9	
MYCO000734	127	0	9	
MYCO000757	3	0	16	
MYCO000758	27	0	55	
MYCO000772	39	0	28	
MYCO000777	13	0	17	
MYCO000780	4	0	17	
MYCO000782	1247	0	3	
MYCO000788	34	0	10	
MYCO000803	27	0	43	
MYCO000808	25	0	31	
MYCO000809	2	0	19	
MYCO000810	0	0	5	
MYCO000814	252	5	12	
MYCO000815	22	3	16	
MYCO000820	3	0	12	
MYCO000821	6	0	10	
MYCO000823	24	0	25	
MYCO000824	3	0	16	
MYCO000859	21	0	35	
MYCO000860	91	0	40	
MYCO000861	7	0	37	
MYCO000871	5	0	6	
MYCO000876	0	0	34	
MYCO000884	4	0	24	
MYCO000885	18	0	18	
MYCO000886	288	0	23	
MYCO000889	254	0	26	
MYCO000896	20	0	24	
MYCO000902	10	0	12	
MYCO000903	5	0	6	
MYCO000906	320	0	20	
MYCO000926	6	0	32	
MYCO000927	51	0	14	
MYCO000929	113	0	14	
MYCO000946	13	0	32	
MYCO000949	54	0	45	
MYCO000951	10	0	22	
MYCO000952	25	0	18	
MYCO000953	97	0	22	
MYCO000957	134	0	25	
MYCO000981	11	0	17	
MYCO000983	156	0	34	
MYCO000993	42	0	14	
MYCO000994	80	0	28	
MYCO000995	6	0	14	
MYCO001001	8	0	32	
MYCO001002	15	0	29	
MYCO001007	4	0	25	
MYCO001008	64	0	18	
MYCO001009	70	0	15	
MYCO001010	25	0	19	
MYCO001011	6	0	17	
MYCO001013	14	0	24	
MYCO001014	6	0	16	
MYCO001015	7	0	14	
MYCO001017	1	0	17	
MYCO001018	8	0	32	
MYCO001020	147	0	63	
MYCO001022	62	0	14	
MYCO001023	46	0	24	
MYCO001026	89	0	21	
MYCO001070	2	0	13	
MYCO001071	4	0	27	
MYCO001072	2	0	14	
MYCO001077	19	0	30	
MYCO001079	23	0	17	
MYCO001080	69	0	7	
MYCO001082	5	0	17	
MYCO001086	19	0	17	
MYCO001092	34	0	17	
MYCO001094	22	0	9	
MYCO001095	38	0	21	
MYCO001098	22	0	18	
MYCO001099	66	0	17	
MYCO001108	17	0	25	
MYCO001110	2	0	19	
MYCO001112	155	0	23	
MYCO001165	51	0	46	
MYCO001173	66	0	38	
MYCO001177	5	0	4	
MYCO001178	50	0	26	
MYCO001193	123	0	24	
MYCO001201	73	0	26	
MYCO001202	57	0	16	
MYCO001207	80	0	25	
MYCO001208	6	0	15	
MYCO001213	62	0	25	
MYCO001220	68	0	7	
MYCO001221	0	0	16	
MYCO001223	199	0	31	
MYCO001229	26	0	24	
MYCO001238	13	0	16	
MYCO001239	2	0	18	
MYCO001245	31	0	23	
MYCO001248	138	0	63	
MYCO001253	60	0	41	
MYCO001272	102	0	33	
MYCO001273	5	0	32	
MYCO001277	139	0	23	
MYCO001292	9	0	25	
MYCO001293	17	0	20	
MYCO001294	22	0	21	
MYCO001295	18	0	24	
MYCO001297	105	0	31	
MYCO001299	8	0	14	
MYCO001302	7	0	16	
MYCO001305	4	0	4	
MYCO001308	18	0	24	
MYCO001309	3	0	22	
MYCO001310	4	0	17	
MYCO001311	7	0	9	
MYCO001315	4	0	18	
MYCO001321	22	0	17	
MYCO001323	30	0	24	
MYCO001326	9	0	38	
MYCO001327	21	0	28	
MYCO001328	46	0	54	
MYCO001338	31	0	14	
MYCO001340	19	0	13	
MYCO001380	19	0	22	
MYCO001381	134	0	25	
MYCO001383	8	0	21	
MYCO001384	113	0	71	
MYCO001385	200	0	15	
MYCO001388	2	0	12	
MYCO001390	1	0	7	
MYCO001391	223	0	31	
MYCO001392	125	0	38	
MYCO001402	527	0	31	
MYCO001407	172	0	34	
MYCO001408	33	0	12	
MYCO001410	2	0	24	
MYCO001412	7	0	15	
MYCO001415	4	0	21	
MYCO001416	2	0	13	
MYCO001420	8	0	35	
MYCO001421	9	0	15	
MYCO001436	1	0	19	
MYCO001437	13	0	18	
MYCO001438	4	0	14	
MYCO001440	6	0	5	
MYCO001445	68	0	20	
MYCO001447	157	0	35	
MYCO001448	13	0	19	
MYCO001449	67	0	39	
MYCO001451	27	0	27	
MYCO001457	3	0	13	
MYCO001458	9	0	25	
MYCO001462	14	0	28	
MYCO001463	3	0	17	
MYCO001464	62	0	24	
MYCO001465	4	0	7	
MYCO001466	1	0	6	
MYCO001467	23	639	31	
MYCO001473	10	0	27	
MYCO001474	37	0	11	
MYCO001475	6	0	36	
MYCO001479	30	0	19	
MYCO001480	43	0	24	
MYCO001481	7	0	20	
MYCO001483	33	0	7	
MYCO001484	6	0	19	
MYCO001485	32	0	16	
MYCO001493	207	0	35	
MYCO001536	40	0	62	
MYCO001540	4	0	17	
MYCO001547	50	0	54	
MYCO001557	219	0	31	
MYCO001559	268	0	29	
MYCO001564	17	0	39	
MYCO001568	71	0	27	
MYCO001569	245	0	17	
MYCO001589	3	0	14	
MYCO001593	3	0	11	
MYCO001594	15	0	21	
MYCO001595	132	0	30	
MYCO001599	111	0	21	
MYCO001600	2	0	18	
MYCO001601	0	0	12	
MYCO001603	2	0	11	
MYCO001605	1	0	15	
MYCO001609	29	0	30	
MYCO001611	22	0	10	
MYCO001612	2	0	25	
MYCO001617	21	0	30	
MYCO001626	8	0	11	
MYCO001627	42	0	15	
MYCO001629	43	0	54	
MYCO001633	159	0	51	
MYCO001638	63	0	53	
MYCO001641	1280	0	0	
MYCO001649	105	0	14	
MYCO001652	63	0	19	
MYCO001653	224	0	16	
MYCO001654	35	0	13	
MYCO001655	133	0	20	
MYCO001656	99	0	14	
MYCO001657	121	0	12	
MYCO001658	35	0	27	
MYCO001659	119	0	25	
MYCO001689	7	0	21	
MYCO001694	35	0	14	
MYCO001695	2	0	17	
MYCO001697	3	0	11	
MYCO001699	4	0	48	
MYCO001701	14	0	13	
MYCO001708	6	0	14	
MYCO001709	0	0	26	
MYCO001711	0	0	16	
MYCO001712	9	0	20	
MYCO001713	49	0	25	
MYCO001821	14	0	44	
MYCO001827	3	0	7	
MYCO001829	13	0	13	
MYCO001830	3	0	23	
MYCO001832	40	0	49	
MYCO001837	34	0	32	
MYCO001842	26	0	34	
MYCO001843	31	0	26	
MYCO001844	18	0	40	
MYCO001854	15	0	23	
MYCO001886	23	0	23	
MYCO001894	56	0	33	
MYCO001981	4	0	8	
MYCO002050	1	0	5	
MYCO002089	92	0	26	
MYCO002090	1254	0	4	
MYCO002092	148	0	56	
MYCO002093	17	0	22	
MYCO002096	8	0	24	
MYCO002097	27	0	20	
MYCO002109	8	0	18	
MYCO002110	11	0	21	
MYCO002111	33	0	7	
MYCO002112	558	0	27	
MYCO002115	14	0	40	
MYCO002118	1	0	12	
MYCO002119	5	0	24	
MYCO002121	14	0	15	
MYCO002122	1	0	9	
MYCO002125	13	0	13	
MYCO002130	154	0	13	
MYCO002134	6	0	11	
MYCO002139	23	0	22	
MYCO002140	0	0	12	
MYCO002141	27	0	25	
MYCO002145	19	0	12	
MYCO002150	90	0	17	
MYCO002151	78	0	11	
MYCO002153	251	0	22	
MYCO002154	256	0	18	
MYCO002155	209	0	37	
MYCO002156	4	0	25	
MYCO002157	539	0	21	
MYCO002163	59	0	32	
MYCO002166	5	0	8	
MYCO002170	148	0	13	
MYCO002176	39	0	23	
MYCO002178	7	0	19	
MYCO002179	27	0	8	
MYCO002182	11	0	12	
MYCO002186	1	0	5	
MYCO002187	368	0	27	
MYCO002188	11	0	30	
MYCO002192	33	0	22	
MYCO002193	3	0	8	
MYCO002194	10	0	21	
MYCO002195	7	0	15	
MYCO002196	6	0	28	
MYCO002199	0	0	7	
MYCO002200	10	0	15	
MYCO002201	42	0	23	
MYCO002202	58	0	21	
MYCO002210	27	0	27	
MYCO002211	31	0	24	
MYCO002213	63	0	36	
MYCO002216	13	0	27	
MYCO002217	57	0	23	
MYCO002218	53	0	21	
MYCO002219	33	0	12	
MYCO002220	10	0	28	
MYCO002221	277	0	54	
MYCO002222	14	0	27	
MYCO002225	40	0	26	
MYCO002228	15	0	25	
MYCO002230	72	0	27	
MYCO002235	23	0	17	
MYCO002239	1	0	8	
MYCO002241	172	0	36	
MYCO002242	51	0	19	
MYCO002243	138	0	20	
MYCO002244	2	0	2	
MYCO002245	27	0	21	
MYCO002246	12	0	15	
MYCO002247	63	0	24	
MYCO002257	11	0	21	
MYCO002259	58	0	20	
MYCO002315	221	0	28	
MYCO002343	57	0	35	
MYCO002344	191	0	23	
MYCO002357	6	0	20	
MYCO002361	3	0	11	
MYCO002362	29	0	16	
MYCO002364	5	0	17	
MYCO002366	3	0	25	
MYCO002367	1	0	13	
MYCO002368	20	0	19	
MYCO002373	20	0	22	
MYCO002374	34	0	26	
MYCO002399	17	0	16	
MYCO002400	16	0	23	
MYCO002402	18	0	48	
MYCO002404	10	0	40	
MYCO002409	3	0	13	
MYCO002410	3	0	14	
MYCO002411	30	0	29	
MYCO002413	50	0	19	
MYCO002420	56	0	15	
MYCO002421	0	0	9	
MYCO002425	96	0	19	
MYCO002426	375	0	26	
MYCO002427	105	0	20	
MYCO002439	189	0	21	
MYCO002440	31	0	34	
MYCO002445	6	0	6	
MYCO002447	16	0	33	
MYCO002448	60	0	48	
MYCO002454	7	0	21	
MYCO002455	26	0	22	
MYCO002457	11	0	16	
MYCO002460	1	0	12	
MYCO002461	3	0	9	
MYCO002462	91	0	21	
MYCO002465	16	0	7	
MYCO002466	10	0	18	
MYCO002467	27	0	47	
MYCO002470	4	0	11	
MYCO002477	7	0	29	
MYCO002500	4	0	21	
MYCO002502	17	0	34	
MYCO002509	5	0	22	
MYCO002511	6	0	9	
MYCO002518	156	0	15	
MYCO002521	1	0	11	
MYCO002523	11	0	7	
MYCO002524	356	0	115	
MYCO002533	6	0	9	
MYCO002534	0	0	10	
MYCO002538	59	0	21	
MYCO002540	294	0	19	
MYCO002555	23	0	39	
MYCO002559	97	0	22	
MYCO002568	13	0	28	
MYCO002572	35	0	28	
MYCO002575	25	0	22	
MYCO002580	49	0	25	
MYCO002582	11	0	15	
MYCO002583	35	0	35	
MYCO002587	192	0	30	
MYCO002589	31	0	26	
MYCO002592	49	0	18	
MYCO002593	26	0	10	
MYCO002594	0	0	9	
MYCO002603	1	0	14	
MYCO002606	8	0	15	
MYCO002610	35	0	25	
MYCO002611	21	0	21	
MYCO002612	2	0	17	
MYCO002613	1	0	8	
MYCO002614	19	0	34	
MYCO002670	5	0	15	
MYCO002673	152	300	20	
MYCO002676	7	0	12	
MYCO002678	106	0	17	
MYCO002682	25	0	25	
MYCO002696	32	0	18	
MYCO002697	2	0	11	
MYCO002699	0	0	6	
MYCO002702	2	0	24	
MYCO002703	31	0	27	
MYCO002708	3	0	5	
MYCO002710	21	0	16	
MYCO002711	10	0	14	
MYCO002714	6	0	22	
MYCO002715	185	0	15	
MYCO002720	6	0	20	
MYCO002724	23	0	38	
MYCO002725	39	0	22	
MYCO002726	15	0	14	
MYCO002727	80	0	26	
MYCO002731	136	0	22	
MYCO002733	288	0	23	
MYCO002744	35	0	16	
MYCO002748	113	0	43	
MYCO002750	21	0	19	
MYCO002753	7	0	26	
MYCO002754	7	0	15	
MYCO002764	24	0	20	
MYCO002773	6	0	12	
MYCO002782	91	0	26	
MYCO002783	41	0	31	
MYCO002788	131	0	9	
MYCO002794	6	0	19	
MYCO002795	27	0	23	
MYCO002828	575	162	24	
MYCO002838	20	0	10	
MYCO002839	478	0	36	
MYCO002841	11	0	23	
MYCO002846	2	0	27	
MYCO002847	28	0	28	
MYCO002861	8	0	15	
MYCO002864	19	0	25	
MYCO002868	3	0	20	
MYCO002870	25	0	13	
MYCO002882	3	0	18	
MYCO002883	2	0	14	
MYCO002889	29	0	14	
MYCO002894	156	0	12	
MYCO002901	1	0	6	
MYCO002902	69	0	16	
MYCO002915	25	0	22	
MYCO002916	92	0	24	
MYCO002917	191	0	33	
MYCO002918	82	0	46	
MYCO002919	1	0	8	
MYCO002921	34	0	17	
MYCO002927	8	0	16	
MYCO002965	2	0	7	
MYCO002967	73	0	44	
MYCO002976	22	0	16	
MYCO002981	57	0	26	
MYCO002982	7	0	24	
MYCO002984	15	0	31	
MYCO002988	28	0	23	
MYCO002992	42	0	32	
MYCO002993	2	0	12	
MYCO002995	52	0	25	
MYCO002996	76	0	38	
MYCO003001	6	0	18	
MYCO003003	54	0	30	
MYCO003006	42	0	13	
MYCO003009	6	0	27	
MYCO003010	125	0	15	
MYCO003011	235	0	13	
MYCO003014	109	0	36	
MYCO003024	61	0	23	
MYCO003025	32	0	21	
MYCO003027	14	0	21	
MYCO003028	161	0	17	
MYCO003029	6	0	15	
MYCO003031	60	0	30	
MYCO003032	130	0	18	
MYCO003034	3	0	12	
MYCO003038	4	0	17	
MYCO003042	18	0	16	
MYCO003043	3	0	23	
MYCO003045	2	0	18	
MYCO003048	6	0	16	
MYCO003049	32	0	33	
MYCO003051	11	0	25	
MYCO003052	7	0	6	
MYCO003053	1	0	3	
MYCO003054	52	0	14	
MYCO003057	4	0	19	
MYCO003085	67	0	18	
MYCO003100	3	0	13	
MYCO003101	5	0	17	
MYCO003102	1	0	17	
MYCO003105	51	0	19	
MYCO003117	22	3	16	
MYCO003118	252	5	12	
MYCO003139	7	0	33	
MYCO003140	5	0	29	
MYCO003193	26	0	49	
MYCO003194	0	0	19	
MYCO003195	114	0	34	
MYCO003197	7	0	25	
MYCO003198	82	0	35	
MYCO003205	10	0	17	
MYCO003206	4	0	27	
MYCO003207	9	0	18	
MYCO003208	18	0	16	
MYCO003211	90	0	39	
