GbGDiv simplified results table from 'accumulate-20.txt' records table.
Isolate records read from table: 5119

Locus	Missing	Paralogous	CountNuc
id	0	0	5119	
isolate	0	0	5119	
rMLST_database_accession	0	0	5119	
BACT000001	13	0	77	
BACT000002	153	0	33	
BACT000003	500	0	38	
BACT000004	32	0	28	
BACT000005	86	0	30	
BACT000006	5	0	16	
BACT000007	13	0	18	
BACT000008	25	0	21	
BACT000009	23	0	29	
BACT000010	1	0	10	
BACT000011	41	0	20	
BACT000012	2	0	20	
BACT000013	11	0	23	
BACT000014	3	4689	2	
BACT000015	5	0	9	
BACT000016	46	0	29	
BACT000017	18	0	19	
BACT000018	1	3994	4	
BACT000019	1	0	12	
BACT000020	6	0	16	
BACT000021	5118	0	1	
BACT000030	45	1435	29	
BACT000031	3	0	26	
BACT000032	13	0	22	
BACT000033	142	0	31	
BACT000034	12	0	24	
BACT000035	4	0	25	
BACT000036	334	0	21	
BACT000038	21	0	20	
BACT000039	19	0	24	
BACT000040	627	0	16	
BACT000042	8	0	26	
BACT000043	3	0	24	
BACT000044	30	0	18	
BACT000045	22	0	19	
BACT000046	6	0	31	
BACT000047	67	0	15	
BACT000048	1	0	16	
BACT000049	5	0	17	
BACT000050	28	0	15	
BACT000051	163	0	24	
BACT000052	2	0	15	
BACT000053	5	0	16	
BACT000056	9	0	13	
BACT000057	2	4967	3	
BACT000058	1	1	14	
BACT000059	0	0	12	
BACT000060	2	0	8	
BACT000061	14	0	15	
BACT000062	1	4276	7	
BACT000063	2	1	12	
BACT000064	3	0	13	
BACT000065	3	0	4	
MYCO000001	34	0	128	
MYCO000005	32	0	143	
MYCO000006	55	0	236	
MYCO000009	16	0	35	
MYCO000011	10	0	28	
MYCO000013	5	0	60	
MYCO000015	1137	0	75	
MYCO000016	78	0	92	
MYCO000017	68	0	88	
MYCO000019	8	0	33	
MYCO000038	330	0	37	
MYCO000046	16	0	67	
MYCO000047	19	0	32	
MYCO000049	32	0	29	
MYCO000050	559	0	150	
MYCO000051	427	0	112	
MYCO000054	199	0	32	
MYCO000066	24	0	129	
MYCO000068	138	0	85	
MYCO000129	46	0	38	
MYCO000183	264	0	53	
MYCO000184	300	0	32	
MYCO000189	661	0	64	
MYCO000198	58	0	114	
MYCO000204	158	0	51	
MYCO000207	14	0	40	
MYCO000211	65	0	108	
MYCO000223	524	0	80	
MYCO000225	36	0	36	
MYCO000227	574	0	59	
MYCO000228	119	0	57	
MYCO000236	1146	0	170	
MYCO000237	131	0	71	
MYCO000238	20	0	38	
MYCO000241	35	0	62	
MYCO000242	830	0	70	
MYCO000243	482	0	64	
MYCO000244	103	2569	78	
MYCO000247	12	0	30	
MYCO000248	30	0	66	
MYCO000270	48	0	95	
MYCO000274	326	0	42	
MYCO000321	12	0	28	
MYCO000322	62	0	55	
MYCO000334	6	0	34	
MYCO000337	46	0	50	
MYCO000350	88	0	61	
MYCO000352	527	0	48	
MYCO000357	18	0	52	
MYCO000360	174	0	27	
