GbGDiv simplified results table from 'accumulate-14.txt' records table.
Isolate records read from table: 3584

Locus	Missing	Paralogous	CountNuc
id	0	0	3584	
isolate	0	0	3584	
rMLST_database_accession	0	0	3584	
BACT000001	9	0	70	
BACT000002	105	0	29	
BACT000003	344	0	34	
BACT000004	26	0	22	
BACT000005	56	0	24	
BACT000006	2	0	14	
BACT000007	8	0	17	
BACT000008	18	0	18	
BACT000009	12	0	25	
BACT000010	1	0	9	
BACT000011	28	0	18	
BACT000012	2	0	18	
BACT000013	7	0	19	
BACT000014	2	3268	2	
BACT000015	1	0	9	
BACT000016	36	0	26	
BACT000017	11	0	17	
BACT000018	1	2785	3	
BACT000019	0	0	11	
BACT000020	5	0	15	
BACT000021	3584	0	0	
BACT000030	31	1004	23	
BACT000031	2	0	22	
BACT000032	7	0	18	
BACT000033	96	0	27	
BACT000034	6	0	19	
BACT000035	4	0	24	
BACT000036	238	0	17	
BACT000038	17	0	17	
BACT000039	13	0	19	
BACT000040	430	0	14	
BACT000042	6	0	22	
BACT000043	1	0	23	
BACT000044	24	0	14	
BACT000045	16	0	16	
BACT000046	4	0	28	
BACT000047	50	0	11	
BACT000048	0	0	16	
BACT000049	2	0	16	
BACT000050	20	0	14	
BACT000051	114	0	20	
BACT000052	1	0	11	
BACT000053	2	0	13	
BACT000056	6	0	13	
BACT000057	2	3478	3	
BACT000058	1	1	12	
BACT000059	0	0	9	
BACT000060	2	0	7	
BACT000061	9	0	13	
BACT000062	1	3009	7	
BACT000063	1	1	11	
BACT000064	3	0	13	
BACT000065	3	0	1	
MYCO000001	23	0	103	
MYCO000005	24	0	123	
MYCO000006	38	0	180	
MYCO000009	9	0	27	
MYCO000011	9	0	21	
MYCO000013	3	0	52	
MYCO000015	805	0	61	
MYCO000016	54	0	71	
MYCO000017	50	0	63	
MYCO000019	6	0	27	
MYCO000038	247	0	32	
MYCO000046	14	0	55	
MYCO000047	14	0	27	
MYCO000049	18	0	28	
MYCO000050	395	0	131	
MYCO000051	311	0	94	
MYCO000054	144	0	28	
MYCO000066	18	0	99	
MYCO000068	96	0	69	
MYCO000129	29	0	27	
MYCO000183	184	0	42	
MYCO000184	202	0	24	
MYCO000189	459	0	54	
MYCO000198	36	0	92	
MYCO000204	110	0	39	
MYCO000207	13	0	32	
MYCO000211	42	0	92	
MYCO000223	377	0	63	
MYCO000225	26	0	29	
MYCO000227	401	0	49	
MYCO000228	78	0	47	
MYCO000236	837	0	138	
MYCO000237	94	0	61	
MYCO000238	12	0	30	
MYCO000241	24	0	51	
MYCO000242	611	0	56	
MYCO000243	332	0	51	
MYCO000244	67	1800	65	
MYCO000247	8	0	26	
MYCO000248	23	0	53	
MYCO000270	34	0	77	
MYCO000274	228	0	35	
MYCO000321	6	0	21	
MYCO000322	39	0	47	
MYCO000334	4	0	22	
MYCO000337	32	0	42	
MYCO000350	53	0	46	
MYCO000352	382	0	41	
MYCO000357	14	0	43	
MYCO000360	130	0	26	
MYCO000383	683	0	24	
MYCO000384	466	0	76	
MYCO000407	159	0	43	
MYCO000410	105	0	75	
MYCO000411	89	0	37	
MYCO000414	759	0	28	
MYCO000415	796	0	39	
MYCO000417	257	891	28	
MYCO000423	24	0	46	
MYCO000429	8	0	24	
MYCO000432	9	0	24	
MYCO000433	18	0	36	
MYCO000439	137	0	40	
MYCO000440	42	0	48	
MYCO000462	9	0	32	
MYCO000465	34	0	65	
MYCO000466	13	0	25	
MYCO000467	16	0	33	
MYCO000468	33	0	31	
MYCO000472	7	0	26	
MYCO000475	84	0	29	
MYCO000483	42	0	40	
MYCO000484	37	0	32	
MYCO000486	216	0	53	
MYCO000489	531	0	24	
MYCO000490	49	0	35	
MYCO000491	6	0	16	
MYCO000495	12	0	33	
MYCO000496	44	0	36	
MYCO000498	65	0	41	
MYCO000501	20	0	36	
MYCO000502	26	0	29	
MYCO000505	874	0	30	
MYCO000509	79	0	55	
MYCO000510	66	0	33	
MYCO000512	76	0	32	
MYCO000524	295	0	45	
MYCO000527	110	0	27	
MYCO000528	566	0	46	
MYCO000529	128	0	46	
MYCO000548	25	0	26	
MYCO000551	120	0	77	
MYCO000553	347	0	36	
MYCO000555	339	0	42	
MYCO000557	39	0	54	
MYCO000558	174	0	24	
MYCO000562	16	0	42	
MYCO000563	74	0	34	
MYCO000564	42	0	49	
MYCO000566	9	0	20	
MYCO000636	7	0	19	
MYCO000639	143	0	22	
MYCO000647	135	0	52	
MYCO000655	23	0	43	
MYCO000667	183	0	216	
MYCO000668	149	0	206	
MYCO000672	152	0	78	
MYCO000684	52	0	74	
MYCO000685	12	0	26	
MYCO000693	332	0	44	
MYCO000696	59	0	53	
MYCO000732	8	0	46	
MYCO000733	8	0	19	
MYCO000734	391	0	23	
MYCO000757	7	0	24	
MYCO000758	96	0	121	
MYCO000772	114	0	46	
MYCO000777	41	0	34	
MYCO000780	13	0	29	
MYCO000782	3502	0	5	
MYCO000788	101	0	22	
MYCO000803	84	0	69	
MYCO000808	63	0	54	
MYCO000809	6	0	31	
MYCO000810	2	0	7	
MYCO000814	703	13	13	
MYCO000815	53	4	38	
MYCO000820	12	0	25	
MYCO000821	20	0	16	
MYCO000823	71	0	48	
MYCO000824	7	0	21	
MYCO000859	58	0	64	
MYCO000860	223	0	83	
MYCO000861	33	0	56	
MYCO000871	12	0	9	
MYCO000876	3	0	57	
MYCO000884	12	0	44	
MYCO000885	48	0	30	
MYCO000886	842	0	58	
MYCO000889	729	0	45	
MYCO000896	43	0	43	
MYCO000902	30	0	19	
MYCO000903	8	0	10	
MYCO000906	931	0	42	
MYCO000926	18	0	59	
MYCO000927	151	0	24	
MYCO000929	327	0	24	
MYCO000946	39	0	59	
MYCO000949	163	0	85	
MYCO000951	28	0	44	
MYCO000952	70	0	33	
MYCO000953	263	0	46	
MYCO000957	379	0	45	
MYCO000981	40	0	24	
MYCO000983	454	0	51	
