GbGDiv simplified results table from 'accumulate-21.txt' records table.
Isolate records read from table: 5374

Locus	Missing	Paralogous	CountNuc
id	0	0	5374	
isolate	0	0	5374	
rMLST_database_accession	0	0	5374	
BACT000001	13	0	81	
BACT000002	157	0	34	
BACT000003	522	0	39	
BACT000004	32	0	28	
BACT000005	89	0	31	
BACT000006	5	0	18	
BACT000007	13	0	18	
BACT000008	25	0	25	
BACT000009	24	0	29	
BACT000010	1	0	10	
BACT000011	42	0	21	
BACT000012	3	0	21	
BACT000013	11	0	24	
BACT000014	3	4923	2	
BACT000015	5	0	9	
BACT000016	46	0	29	
BACT000017	18	0	21	
BACT000018	1	4188	4	
BACT000019	1	0	13	
BACT000020	6	0	16	
BACT000021	5373	0	1	
BACT000030	50	1507	29	
BACT000031	3	0	27	
BACT000032	13	0	24	
BACT000033	149	0	31	
BACT000034	12	0	25	
BACT000035	4	0	26	
BACT000036	347	0	22	
BACT000038	22	0	20	
BACT000039	19	0	25	
BACT000040	659	0	16	
BACT000042	8	0	26	
BACT000043	3	0	24	
BACT000044	32	0	19	
BACT000045	23	0	19	
BACT000046	6	0	33	
BACT000047	70	0	16	
BACT000048	1	0	16	
BACT000049	5	0	19	
BACT000050	30	0	15	
BACT000051	169	0	26	
BACT000052	2	0	15	
BACT000053	5	0	17	
BACT000056	9	0	13	
BACT000057	2	5211	4	
BACT000058	1	1	14	
BACT000059	0	0	13	
BACT000060	2	0	9	
BACT000061	15	0	15	
BACT000062	1	4496	8	
BACT000063	2	1	13	
BACT000064	3	0	14	
BACT000065	3	0	4	
MYCO000001	36	0	132	
MYCO000005	34	0	146	
MYCO000006	58	0	243	
MYCO000009	16	0	35	
MYCO000011	10	0	29	
MYCO000013	5	0	61	
MYCO000015	1199	0	77	
MYCO000016	86	0	94	
MYCO000017	72	0	91	
MYCO000019	9	0	34	
MYCO000038	353	0	38	
MYCO000046	16	0	68	
MYCO000047	21	0	35	
MYCO000049	33	0	30	
MYCO000050	592	0	154	
MYCO000051	455	0	115	
MYCO000054	211	0	32	
MYCO000066	25	0	133	
MYCO000068	148	0	85	
MYCO000129	46	0	39	
MYCO000183	281	0	55	
MYCO000184	318	0	33	
MYCO000189	695	0	65	
MYCO000198	58	0	118	
MYCO000204	165	0	54	
MYCO000207	15	0	41	
MYCO000211	66	0	112	
MYCO000223	547	0	81	
MYCO000225	38	0	40	
MYCO000227	604	0	60	
MYCO000228	122	0	59	
MYCO000236	1212	0	173	
MYCO000237	133	0	73	
MYCO000238	20	0	39	
MYCO000241	37	0	64	
MYCO000242	881	0	72	
MYCO000243	505	0	65	
MYCO000244	112	2680	80	
MYCO000247	12	0	33	
MYCO000248	31	0	67	
MYCO000270	51	0	97	
MYCO000274	340	0	42	
MYCO000321	12	0	28	
MYCO000322	66	0	55	
MYCO000334	6	0	34	
MYCO000337	47	0	52	
MYCO000350	91	0	62	
MYCO000352	557	0	49	
MYCO000357	18	0	53	
MYCO000360	182	0	28	
MYCO000383	1000	0	29	
MYCO000384	676	0	93	
MYCO000407	248	0	53	
MYCO000410	172	0	103	
MYCO000411	143	0	43	
MYCO000414	1119	0	32	
MYCO000415	1176	0	44	
MYCO000417	379	1344	31	
MYCO000423	32	0	52	
MYCO000429	14	0	31	
MYCO000432	15	0	31	
MYCO000433	33	0	45	
MYCO000439	206	0	51	
MYCO000440	59	0	56	
MYCO000462	14	0	43	
MYCO000465	48	0	76	
MYCO000466	24	0	33	
MYCO000467	21	0	46	
MYCO000468	46	0	40	
MYCO000472	13	0	31	
MYCO000475	127	0	36	
MYCO000483	58	0	54	
MYCO000484	56	0	38	
