GbGDiv simplified results table from 'accumulate-30.txt' records table.
Isolate records read from table: 7669

Locus	Missing	Paralogous	CountNuc
id	0	0	7669	
isolate	0	0	7668	
rMLST_database_accession	0	0	7669	
BACT000001	21	0	103	
BACT000002	218	0	39	
BACT000003	742	0	45	
BACT000004	40	0	33	
BACT000005	125	0	37	
BACT000006	7	0	19	
BACT000007	16	0	21	
BACT000008	30	0	28	
BACT000009	33	0	32	
BACT000010	3	0	14	
BACT000011	62	0	27	
BACT000012	4	0	24	
BACT000013	18	0	29	
BACT000014	3	7056	2	
BACT000015	10	0	9	
BACT000016	56	0	36	
BACT000017	25	0	22	
BACT000018	1	5989	4	
BACT000019	3	0	14	
BACT000020	7	0	16	
BACT000021	7668	0	1	
BACT000030	79	2135	36	
BACT000031	5	0	33	
BACT000032	16	0	29	
BACT000033	203	0	37	
BACT000034	13	0	30	
BACT000035	7	0	30	
BACT000036	485	0	25	
BACT000038	35	0	21	
BACT000039	27	0	29	
BACT000040	913	0	23	
BACT000042	11	0	32	
BACT000043	6	0	25	
BACT000044	43	0	24	
BACT000045	31	0	22	
BACT000046	8	0	39	
BACT000047	99	0	19	
BACT000048	2	0	22	
BACT000049	9	0	21	
BACT000050	43	0	18	
BACT000051	228	0	34	
BACT000052	3	0	18	
BACT000053	7	0	18	
BACT000056	11	0	13	
BACT000057	6	7423	6	
BACT000058	1	1	15	
BACT000059	0	0	14	
BACT000060	4	0	12	
BACT000061	22	0	18	
BACT000062	3	6387	8	
BACT000063	3	1	16	
BACT000064	5	0	15	
BACT000065	5	0	7	
MYCO000001	54	0	158	
MYCO000005	43	0	179	
MYCO000006	75	0	293	
MYCO000009	21	0	40	
MYCO000011	13	0	32	
MYCO000013	10	0	72	
MYCO000015	1711	0	97	
MYCO000016	121	0	110	
MYCO000017	100	0	109	
MYCO000019	12	0	42	
MYCO000038	494	0	43	
MYCO000046	22	0	81	
MYCO000047	28	0	42	
MYCO000049	50	0	33	
MYCO000050	826	0	180	
MYCO000051	637	0	135	
MYCO000054	296	0	33	
MYCO000066	37	0	154	
MYCO000068	216	0	97	
MYCO000129	74	0	42	
MYCO000183	405	0	65	
MYCO000184	450	0	44	
MYCO000189	997	0	78	
MYCO000198	84	0	132	
MYCO000204	238	0	66	
MYCO000207	25	0	54	
MYCO000211	88	0	131	
MYCO000223	766	0	92	
MYCO000225	51	0	53	
MYCO000227	851	0	73	
MYCO000228	179	0	80	
MYCO000236	1705	0	216	
MYCO000237	189	0	89	
MYCO000238	24	0	42	
MYCO000241	48	0	76	
MYCO000242	1268	0	80	
MYCO000243	698	0	80	
MYCO000244	161	3810	95	
MYCO000247	16	0	37	
MYCO000248	42	0	72	
MYCO000270	65	0	113	
MYCO000274	480	0	48	
MYCO000321	12	0	34	
MYCO000322	94	0	72	
MYCO000334	10	0	38	
MYCO000337	63	0	61	
MYCO000350	126	0	70	
MYCO000352	785	0	55	
MYCO000357	26	0	61	
MYCO000360	250	0	34	
MYCO000383	1420	0	40	
MYCO000384	960	0	107	
MYCO000407	354	0	66	
MYCO000410	232	0	125	
MYCO000411	211	0	58	
MYCO000414	1580	0	35	
MYCO000415	1670	0	54	
MYCO000417	529	1911	35	
MYCO000423	47	0	66	
MYCO000429	18	0	35	
MYCO000432	26	0	34	
MYCO000433	47	0	51	
MYCO000439	288	0	60	
MYCO000440	87	0	71	
MYCO000462	17	0	55	
MYCO000465	68	0	88	
MYCO000466	33	0	39	
MYCO000467	29	0	54	
MYCO000468	69	0	47	
MYCO000472	18	0	37	
MYCO000475	176	0	45	
MYCO000483	84	0	69	
MYCO000484	74	0	45	
MYCO000486	460	0	74	
MYCO000489	1134	0	33	
MYCO000490	93	0	49	
MYCO000491	10	0	21	
MYCO000495	21	0	50	
MYCO000496	96	0	48	
MYCO000498	132	0	55	
MYCO000501	37	0	65	
MYCO000502	58	0	52	
MYCO000505	1837	0	44	
MYCO000509	168	0	75	
MYCO000510	124	0	45	
MYCO000512	168	0	53	
MYCO000524	614	0	69	
MYCO000527	229	0	43	
MYCO000528	1167	0	71	
MYCO000529	285	0	60	
MYCO000548	51	0	46	
MYCO000551	270	0	104	
MYCO000553	717	0	50	
MYCO000555	706	0	67	
MYCO000557	87	0	97	
MYCO000558	385	0	34	
MYCO000562	36	0	57	
MYCO000563	158	0	52	
MYCO000564	92	0	67	
MYCO000566	25	0	25	
MYCO000636	13	0	30	
MYCO000639	293	0	29	
MYCO000647	278	0	76	
MYCO000655	37	0	60	
MYCO000667	366	0	321	
MYCO000668	290	0	318	
MYCO000672	315	0	116	
MYCO000684	100	0	111	
MYCO000685	30	0	38	
MYCO000693	729	0	51	
MYCO000696	115	0	80	
MYCO000732	21	0	74	
MYCO000733	16	0	26	
MYCO000734	787	0	36	
MYCO000757	14	0	39	
MYCO000758	200	0	192	
MYCO000772	233	0	63	
MYCO000777	78	0	50	
MYCO000780	28	0	48	
MYCO000782	7498	0	5	
MYCO000788	203	0	32	
MYCO000803	168	0	110	
MYCO000808	141	0	78	
MYCO000809	12	0	46	
MYCO000810	7	0	11	
MYCO000814	1532	26	13	
MYCO000815	117	8	50	
MYCO000820	22	0	31	
MYCO000821	37	0	23	
MYCO000823	147	0	72	
MYCO000824	14	0	29	
MYCO000859	108	0	90	
MYCO000860	454	0	131	
MYCO000861	83	0	88	
MYCO000871	22	0	18	
MYCO000876	14	0	86	
MYCO000884	25	0	57	
MYCO000885	104	0	47	
MYCO000886	1766	0	95	
MYCO000889	1505	0	69	
MYCO000896	107	0	67	
MYCO000902	57	0	42	
MYCO000903	18	0	16	
MYCO000906	1949	0	61	
MYCO000926	38	0	78	
MYCO000927	332	0	52	
MYCO000929	678	0	39	
MYCO000946	76	0	87	
MYCO000949	329	0	121	
MYCO000951	60	0	58	
MYCO000952	143	0	55	
MYCO000953	546	0	59	
MYCO000957	817	0	71	
MYCO000981	73	0	40	
MYCO000983	952	0	79	
MYCO000993	231	0	44	
MYCO000994	507	0	71	
MYCO000995	26	0	43	
MYCO001001	64	0	77	
MYCO001002	111	0	81	
MYCO001007	19	0	68	
MYCO001008	440	0	48	
MYCO001009	364	0	61	
MYCO001010	163	0	62	
MYCO001011	59	0	47	
MYCO001013	88	0	76	
MYCO001014	59	0	38	
MYCO001015	46	0	40	
MYCO001017	15	0	39	
MYCO001018	89	0	85	
MYCO001020	860	0	198	
MYCO001022	357	0	37	
MYCO001023	274	0	75	
MYCO001026	492	0	54	
MYCO001070	44	0	35	
MYCO001071	33	0	65	
MYCO001072	8	0	43	
MYCO001077	110	0	76	
MYCO001079	133	0	47	
MYCO001080	417	0	24	
MYCO001082	74	0	40	
MYCO001086	108	0	48	
MYCO001092	203	0	40	
MYCO001094	132	0	29	
MYCO001095	191	0	66	
MYCO001098	138	0	54	
MYCO001099	472	0	61	
MYCO001108	155	0	66	
MYCO001110	27	0	44	
MYCO001112	992	0	54	
MYCO001165	357	0	102	
MYCO001173	437	0	128	
MYCO001177	23	0	8	
MYCO001178	283	0	75	
MYCO001193	723	0	59	
MYCO001201	458	0	53	
MYCO001202	358	0	45	
MYCO001207	506	0	55	
MYCO001208	54	0	38	
MYCO001213	348	0	78	
MYCO001220	446	0	27	
MYCO001221	9	0	39	
MYCO001223	1243	0	90	
MYCO001229	218	0	66	
MYCO001238	83	0	50	
MYCO001239	32	0	57	
MYCO001245	147	0	53	
MYCO001248	841	0	185	
MYCO001253	337	0	103	
MYCO001272	577	0	87	
MYCO001273	29	0	95	
MYCO001277	822	0	51	
MYCO001292	58	0	90	
MYCO001293	99	0	64	
MYCO001294	135	0	61	
MYCO001295	101	0	54	
MYCO001297	636	0	79	
MYCO001299	67	0	33	
MYCO001302	21	0	48	
MYCO001305	12	0	11	
MYCO001308	106	0	65	
MYCO001309	27	0	52	
MYCO001310	35	0	58	
MYCO001311	31	0	28	
MYCO001315	51	0	50	
MYCO001321	118	0	36	
MYCO001323	170	0	66	
MYCO001326	97	0	115	
MYCO001327	134	0	99	
MYCO001328	265	0	138	
MYCO001338	195	0	40	
MYCO001340	105	0	36	
MYCO001380	86	0	43	
MYCO001381	811	0	57	
MYCO001383	74	0	62	
MYCO001384	700	0	198	
MYCO001385	1213	0	45	
MYCO001388	12	0	33	
MYCO001390	2	0	18	
MYCO001391	1336	0	70	
MYCO001392	737	0	77	
MYCO001402	3066	0	84	
MYCO001407	1059	0	89	
MYCO001408	261	0	37	
MYCO001410	26	0	70	
MYCO001412	33	0	33	
MYCO001415	39	0	53	
MYCO001416	12	0	26	
MYCO001420	52	0	100	
MYCO001421	39	0	52	
MYCO001436	21	0	52	
MYCO001437	84	0	60	
MYCO001438	40	0	44	
MYCO001440	38	0	17	
MYCO001445	505	0	40	
MYCO001447	909	0	111	
MYCO001448	99	0	63	
MYCO001449	393	0	109	
MYCO001451	146	0	49	
MYCO001457	15	0	39	
MYCO001458	47	0	54	
MYCO001462	95	0	68	
MYCO001463	31	0	37	
MYCO001464	397	0	63	
MYCO001465	30	0	19	
MYCO001466	16	0	12	
MYCO001467	161	3885	76	
MYCO001473	70	0	72	
MYCO001474	230	0	22	
MYCO001475	41	0	119	
MYCO001479	165	0	62	
MYCO001480	248	0	50	
MYCO001481	45	0	52	
MYCO001483	207	0	30	
MYCO001484	59	0	43	
MYCO001485	221	0	41	
MYCO001493	1173	0	82	
MYCO001536	261	0	166	
MYCO001540	53	0	60	
MYCO001547	275	0	148	
MYCO001557	1281	0	70	
MYCO001559	1649	0	72	
MYCO001564	95	0	118	
MYCO001568	462	0	65	
MYCO001569	1442	0	44	
MYCO001589	28	0	49	
MYCO001593	16	0	37	
MYCO001594	87	0	62	
MYCO001595	822	0	86	
MYCO001599	695	0	63	
MYCO001600	16	0	59	
MYCO001601	3	0	37	
MYCO001603	20	0	47	
MYCO001605	33	0	42	
MYCO001609	184	0	92	
MYCO001611	134	0	32	
MYCO001612	21	0	68	
MYCO001617	97	0	80	
MYCO001626	40	0	34	
MYCO001627	230	0	53	
MYCO001629	270	0	166	
MYCO001633	992	0	116	
MYCO001638	352	0	154	
MYCO001641	7669	0	0	
MYCO001649	582	0	50	
MYCO001652	437	0	55	
MYCO001653	1328	0	49	
MYCO001654	201	0	36	
MYCO001655	847	0	64	
MYCO001656	625	0	48	
MYCO001657	696	0	30	
MYCO001658	244	0	69	
MYCO001659	685	0	72	
MYCO001689	30	0	59	
MYCO001694	271	0	48	
MYCO001695	11	0	44	
MYCO001697	12	0	41	
MYCO001699	41	0	122	
MYCO001701	127	0	37	
MYCO001708	39	0	37	
MYCO001709	10	0	56	
MYCO001711	8	0	45	
MYCO001712	48	0	41	
MYCO001713	346	0	77	
MYCO001821	75	0	121	
MYCO001827	13	0	23	
MYCO001829	80	0	24	
MYCO001830	41	0	77	
MYCO001832	206	0	160	
MYCO001837	188	0	129	
MYCO001842	163	0	88	
MYCO001843	189	0	90	
MYCO001844	102	0	104	
