GbGDiv simplified results table from 'accumulate-9.txt' records table.
Isolate records read from table: 2304

Locus	Missing	Paralogous	CountNuc
id	0	0	2304	
isolate	0	0	2304	
rMLST_database_accession	0	0	2304	
BACT000001	6	0	49	
BACT000002	64	0	24	
BACT000003	209	0	27	
BACT000004	18	0	16	
BACT000005	38	0	17	
BACT000006	1	0	12	
BACT000007	5	0	13	
BACT000008	11	0	10	
BACT000009	6	0	23	
BACT000010	1	0	6	
BACT000011	15	0	13	
BACT000012	2	0	14	
BACT000013	3	0	13	
BACT000014	1	2096	2	
BACT000015	1	0	9	
BACT000016	23	0	21	
BACT000017	9	0	16	
BACT000018	0	1770	3	
BACT000019	0	0	10	
BACT000020	2	0	11	
BACT000021	2304	0	0	
BACT000030	20	624	19	
BACT000031	2	0	15	
BACT000032	4	0	13	
BACT000033	53	0	20	
BACT000034	5	0	18	
BACT000035	3	0	17	
BACT000036	142	0	14	
BACT000038	10	0	14	
BACT000039	7	0	16	
BACT000040	271	0	12	
BACT000042	3	0	18	
BACT000043	0	0	16	
BACT000044	15	0	10	
BACT000045	10	0	13	
BACT000046	3	0	23	
BACT000047	27	0	8	
BACT000048	0	0	14	
BACT000049	1	0	13	
BACT000050	9	0	11	
BACT000051	67	0	14	
BACT000052	1	0	8	
BACT000053	2	0	7	
BACT000056	3	0	8	
BACT000057	1	2239	3	
BACT000058	1	0	11	
BACT000059	0	0	4	
BACT000060	2	0	4	
BACT000061	5	0	11	
BACT000062	1	1932	7	
BACT000063	1	0	6	
BACT000064	1	0	9	
BACT000065	2	0	1	
MYCO000001	16	0	82	
MYCO000005	14	0	97	
MYCO000006	22	0	137	
MYCO000009	5	0	17	
MYCO000011	6	0	12	
MYCO000013	2	0	38	
MYCO000015	496	0	47	
MYCO000016	32	0	52	
MYCO000017	30	0	44	
MYCO000019	3	0	24	
MYCO000038	150	0	18	
MYCO000046	4	0	46	
MYCO000047	11	0	25	
MYCO000049	14	0	21	
MYCO000050	250	0	99	
MYCO000051	193	0	69	
MYCO000054	87	0	19	
MYCO000066	13	0	79	
MYCO000068	62	0	51	
MYCO000129	20	0	23	
MYCO000183	108	0	27	
MYCO000184	114	0	20	
MYCO000189	287	0	41	
MYCO000198	20	0	79	
MYCO000204	65	0	31	
MYCO000207	9	0	25	
MYCO000211	25	0	74	
MYCO000223	229	0	47	
MYCO000225	16	0	26	
MYCO000227	246	0	41	
MYCO000228	41	0	37	
MYCO000236	520	0	101	
MYCO000237	62	0	48	
MYCO000238	7	0	24	
MYCO000241	15	0	39	
MYCO000242	391	0	40	
MYCO000243	187	0	39	
