GbGDiv simplified results table from 'accumulate-23.txt' records table.
Isolate records read from table: 5884

Locus	Missing	Paralogous	CountNuc
id	0	0	5884	
isolate	0	0	5884	
rMLST_database_accession	0	0	5884	
BACT000001	13	0	88	
BACT000002	171	0	34	
BACT000003	579	0	41	
BACT000004	35	0	30	
BACT000005	101	0	33	
BACT000006	5	0	18	
BACT000007	14	0	18	
BACT000008	25	0	27	
BACT000009	26	0	29	
BACT000010	1	0	11	
BACT000011	49	0	23	
BACT000012	3	0	22	
BACT000013	14	0	26	
BACT000014	3	5395	2	
BACT000015	8	0	9	
BACT000016	49	0	30	
BACT000017	18	0	21	
BACT000018	1	4588	4	
BACT000019	1	0	13	
BACT000020	6	0	16	
BACT000021	5883	0	1	
BACT000030	57	1646	31	
BACT000031	3	0	30	
BACT000032	14	0	25	
BACT000033	163	0	31	
BACT000034	12	0	26	
BACT000035	4	0	27	
BACT000036	385	0	23	
BACT000038	25	0	21	
BACT000039	19	0	27	
BACT000040	721	0	17	
BACT000042	8	0	28	
BACT000043	4	0	24	
BACT000044	32	0	21	
BACT000045	25	0	19	
BACT000046	7	0	35	
BACT000047	75	0	18	
BACT000048	1	0	17	
BACT000049	5	0	20	
BACT000050	34	0	16	
BACT000051	182	0	30	
BACT000052	2	0	15	
BACT000053	5	0	17	
BACT000056	10	0	13	
BACT000057	2	5703	4	
BACT000058	1	1	14	
BACT000059	0	0	13	
BACT000060	3	0	11	
BACT000061	17	0	16	
BACT000062	1	4904	8	
BACT000063	2	1	14	
BACT000064	3	0	14	
BACT000065	4	0	4	
MYCO000001	39	0	136	
MYCO000005	36	0	151	
MYCO000006	61	0	253	
MYCO000009	16	0	37	
MYCO000011	11	0	30	
MYCO000013	6	0	64	
MYCO000015	1325	0	82	
MYCO000016	95	0	97	
MYCO000017	78	0	94	
MYCO000019	9	0	36	
MYCO000038	386	0	39	
MYCO000046	18	0	69	
MYCO000047	21	0	37	
MYCO000049	38	0	31	
MYCO000050	650	0	157	
MYCO000051	495	0	117	
MYCO000054	237	0	32	
MYCO000066	26	0	138	
MYCO000068	162	0	86	
MYCO000129	54	0	40	
MYCO000183	314	0	57	
MYCO000184	355	0	37	
MYCO000189	774	0	68	
MYCO000198	62	0	120	
MYCO000204	180	0	60	
MYCO000207	17	0	45	
MYCO000211	72	0	115	
MYCO000223	593	0	82	
MYCO000225	43	0	42	
MYCO000227	666	0	61	
MYCO000228	142	0	63	
MYCO000236	1334	0	181	
MYCO000237	149	0	78	
MYCO000238	21	0	39	
MYCO000241	39	0	67	
MYCO000242	965	0	75	
MYCO000243	548	0	71	
MYCO000244	124	2936	85	
MYCO000247	12	0	36	
MYCO000248	33	0	68	
MYCO000270	54	0	98	
MYCO000274	366	0	44	
MYCO000321	12	0	31	
MYCO000322	72	0	61	
MYCO000334	6	0	37	
MYCO000337	48	0	55	
MYCO000350	97	0	64	
MYCO000352	601	0	50	
MYCO000357	20	0	54	
MYCO000360	201	0	28	
MYCO000383	1106	0	33	
MYCO000384	743	0	94	
MYCO000407	272	0	55	
MYCO000410	189	0	109	
MYCO000411	161	0	46	
MYCO000414	1225	0	32	
MYCO000415	1293	0	46	
MYCO000417	417	1465	33	
MYCO000423	34	0	56	
MYCO000429	16	0	32	
MYCO000432	16	0	31	
MYCO000433	34	0	46	
MYCO000439	226	0	53	
MYCO000440	68	0	59	
MYCO000462	15	0	45	
MYCO000465	55	0	78	
MYCO000466	26	0	34	
MYCO000467	23	0	49	
MYCO000468	52	0	41	
MYCO000472	14	0	32	
MYCO000475	143	0	36	
MYCO000483	66	0	55	
MYCO000484	61	0	39	
MYCO000486	351	0	67	
MYCO000489	870	0	27	
MYCO000490	69	0	41	
MYCO000491	8	0	20	
