GbGDiv simplified results table from 'accumulate-19.txt' records table.
Isolate records read from table: 4864

Locus	Missing	Paralogous	CountNuc
id	0	0	4864	
isolate	0	0	4864	
rMLST_database_accession	0	0	4864	
BACT000001	12	0	76	
BACT000002	145	0	32	
BACT000003	475	0	38	
BACT000004	31	0	27	
BACT000005	82	0	30	
BACT000006	5	0	16	
BACT000007	13	0	18	
BACT000008	24	0	21	
BACT000009	21	0	28	
BACT000010	1	0	9	
BACT000011	39	0	20	
BACT000012	2	0	20	
BACT000013	11	0	22	
BACT000014	3	4455	2	
BACT000015	5	0	9	
BACT000016	46	0	29	
BACT000017	16	0	19	
BACT000018	1	3792	3	
BACT000019	1	0	12	
BACT000020	6	0	15	
BACT000021	4863	0	1	
BACT000030	45	1357	28	
BACT000031	3	0	26	
BACT000032	13	0	22	
BACT000033	137	0	31	
BACT000034	12	0	23	
BACT000035	4	0	25	
BACT000036	313	0	21	
BACT000038	21	0	19	
BACT000039	19	0	22	
BACT000040	577	0	16	
BACT000042	8	0	26	
BACT000043	3	0	24	
BACT000044	28	0	17	
BACT000045	22	0	19	
BACT000046	4	0	30	
BACT000047	66	0	12	
BACT000048	1	0	16	
BACT000049	4	0	17	
BACT000050	27	0	15	
BACT000051	156	0	24	
BACT000052	2	0	15	
BACT000053	5	0	16	
BACT000056	9	0	13	
BACT000057	2	4720	3	
BACT000058	1	1	13	
BACT000059	0	0	12	
BACT000060	2	0	8	
BACT000061	13	0	15	
BACT000062	1	4067	7	
BACT000063	2	1	12	
BACT000064	3	0	13	
BACT000065	3	0	4	
MYCO000001	30	0	125	
MYCO000005	31	0	139	
MYCO000006	53	0	231	
MYCO000009	14	0	34	
MYCO000011	10	0	26	
MYCO000013	5	0	59	
MYCO000015	1078	0	73	
MYCO000016	78	0	91	
MYCO000017	64	0	82	
MYCO000019	8	0	33	
MYCO000038	318	0	37	
MYCO000046	16	0	65	
MYCO000047	19	0	32	
MYCO000049	30	0	28	
MYCO000050	537	0	149	
MYCO000051	410	0	110	
MYCO000054	192	0	32	
MYCO000066	24	0	122	
MYCO000068	130	0	83	
MYCO000129	44	0	36	
MYCO000183	254	0	53	
MYCO000184	283	0	27	
MYCO000189	620	0	61	
MYCO000198	55	0	109	
MYCO000204	149	0	50	
MYCO000207	14	0	39	
MYCO000211	63	0	107	
MYCO000223	501	0	78	
MYCO000225	36	0	34	
MYCO000227	545	0	57	
MYCO000228	115	0	54	
MYCO000236	1092	0	167	
MYCO000237	123	0	69	
MYCO000238	20	0	36	
MYCO000241	35	0	60	
MYCO000242	795	0	66	
MYCO000243	456	0	63	
MYCO000244	95	2442	75	
MYCO000247	12	0	30	
MYCO000248	28	0	64	
MYCO000270	45	0	94	
