GbGDiv simplified results table from 'accumulate-17.txt' records table.
Isolate records read from table: 4352

Locus	Missing	Paralogous	CountNuc
id	0	0	4352	
isolate	0	0	4352	
rMLST_database_accession	0	0	4352	
BACT000001	10	0	75	
BACT000002	128	0	30	
BACT000003	425	0	37	
BACT000004	28	0	27	
BACT000005	72	0	29	
BACT000006	4	0	16	
BACT000007	11	0	18	
BACT000008	22	0	19	
BACT000009	19	0	27	
BACT000010	1	0	9	
BACT000011	34	0	20	
BACT000012	2	0	18	
BACT000013	9	0	20	
BACT000014	2	3974	2	
BACT000015	1	0	9	
BACT000016	43	0	26	
BACT000017	15	0	19	
BACT000018	1	3394	3	
BACT000019	1	0	11	
BACT000020	5	0	15	
BACT000021	4351	0	1	
BACT000030	38	1210	27	
BACT000031	2	0	25	
BACT000032	10	0	19	
BACT000033	120	0	30	
BACT000034	11	0	21	
BACT000035	4	0	24	
BACT000036	281	0	21	
BACT000038	19	0	19	
BACT000039	16	0	22	
BACT000040	515	0	16	
BACT000042	6	0	23	
BACT000043	3	0	23	
BACT000044	25	0	17	
BACT000045	20	0	18	
BACT000046	4	0	28	
BACT000047	60	0	12	
BACT000048	1	0	16	
BACT000049	3	0	16	
BACT000050	22	0	15	
BACT000051	140	0	22	
BACT000052	1	0	13	
BACT000053	4	0	14	
BACT000056	7	0	13	
BACT000057	2	4219	3	
BACT000058	1	1	12	
BACT000059	0	0	11	
BACT000060	2	0	8	
BACT000061	10	0	14	
BACT000062	1	3644	7	
BACT000063	2	1	12	
BACT000064	3	0	13	
BACT000065	3	0	3	
MYCO000001	28	0	115	
MYCO000005	27	0	128	
MYCO000006	48	0	213	
MYCO000009	11	0	32	
MYCO000011	9	0	24	
MYCO000013	4	0	59	
MYCO000015	970	0	69	
MYCO000016	67	0	83	
MYCO000017	57	0	77	
MYCO000019	8	0	31	
MYCO000038	287	0	33	
MYCO000046	15	0	60	
MYCO000047	16	0	30	
MYCO000049	23	0	28	
MYCO000050	484	0	141	
MYCO000051	373	0	106	
MYCO000054	171	0	30	
MYCO000066	22	0	114	
MYCO000068	118	0	76	
MYCO000129	35	0	33	
MYCO000183	224	0	49	
MYCO000184	250	0	26	
MYCO000189	550	0	58	
MYCO000198	48	0	103	
MYCO000204	134	0	46	
MYCO000207	13	0	35	
MYCO000211	50	0	100	
MYCO000223	451	0	72	
MYCO000225	31	0	33	
MYCO000227	486	0	52	
MYCO000228	98	0	51	
MYCO000236	993	0	160	
MYCO000237	110	0	64	
MYCO000238	15	0	33	
MYCO000241	29	0	54	
MYCO000242	722	0	64	
MYCO000243	400	0	58	
MYCO000244	84	2188	69	
MYCO000247	11	0	27	
MYCO000248	25	0	57	
MYCO000270	42	0	89	
MYCO000274	278	0	38	
MYCO000321	11	0	23	
MYCO000322	52	0	51	
MYCO000334	4	0	27	
MYCO000337	39	0	43	
MYCO000350	69	0	56	
MYCO000352	453	0	46	
MYCO000357	14	0	48	
MYCO000360	155	0	26	
MYCO000383	809	0	25	
MYCO000384	556	0	87	
MYCO000407	198	0	49	
MYCO000410	131	0	92	
MYCO000411	109	0	40	
MYCO000414	905	0	30	
MYCO000415	953	0	41	
MYCO000417	304	1081	30	
MYCO000423	27	0	48	
MYCO000429	10	0	30	
MYCO000432	13	0	27	
MYCO000433	25	0	39	
