GbGDiv simplified results table from 'accumulate-7.txt' records table.
Isolate records read from table: 1792

Locus	Missing	Paralogous	CountNuc
id	0	0	1792	
isolate	0	0	1792	
rMLST_database_accession	0	0	1792	
BACT000001	5	0	42	
BACT000002	48	0	17	
BACT000003	160	0	22	
BACT000004	14	0	14	
BACT000005	29	0	15	
BACT000006	0	0	11	
BACT000007	5	0	12	
BACT000008	8	0	9	
BACT000009	2	0	19	
BACT000010	0	0	5	
BACT000011	11	0	9	
BACT000012	1	0	13	
BACT000013	2	0	11	
BACT000014	1	1631	2	
BACT000015	1	0	8	
BACT000016	19	0	18	
BACT000017	8	0	15	
BACT000018	0	1372	3	
BACT000019	0	0	6	
BACT000020	2	0	9	
BACT000021	1792	0	0	
BACT000030	12	479	18	
BACT000031	2	0	13	
BACT000032	3	0	13	
BACT000033	46	0	17	
BACT000034	4	0	16	
BACT000035	2	0	13	
BACT000036	110	0	12	
BACT000038	5	0	13	
BACT000039	5	0	16	
BACT000040	209	0	9	
BACT000042	1	0	15	
BACT000043	0	0	13	
BACT000044	10	0	8	
BACT000045	4	0	10	
BACT000046	2	0	20	
BACT000047	19	0	8	
BACT000048	0	0	12	
BACT000049	1	0	12	
BACT000050	5	0	11	
BACT000051	47	0	13	
BACT000052	1	0	6	
BACT000053	2	0	5	
BACT000056	0	0	6	
BACT000057	1	1734	3	
BACT000058	0	0	8	
BACT000059	0	0	4	
BACT000060	2	0	3	
BACT000061	3	0	8	
BACT000062	0	1502	6	
BACT000063	1	0	6	
BACT000064	0	0	8	
BACT000065	1	0	1	
MYCO000001	14	0	71	
MYCO000005	9	0	83	
MYCO000006	13	0	116	
MYCO000009	4	0	15	
MYCO000011	3	0	12	
MYCO000013	1	0	30	
MYCO000015	395	0	40	
MYCO000016	23	0	42	
MYCO000017	21	0	40	
MYCO000019	2	0	21	
MYCO000038	119	0	16	
MYCO000046	2	0	39	
MYCO000047	6	0	23	
MYCO000049	11	0	18	
MYCO000050	203	0	83	
MYCO000051	155	0	58	
MYCO000054	65	0	17	
MYCO000066	11	0	71	
MYCO000068	47	0	45	
MYCO000129	16	0	23	
MYCO000183	83	0	24	
