GbGDiv simplified results table from 'accumulate-3.txt' records table.
Isolate records read from table: 768

Locus	Missing	Paralogous	CountNuc
id	0	0	768	
isolate	0	0	768	
rMLST_database_accession	0	0	768	
BACT000001	3	0	26	
BACT000002	25	0	9	
BACT000003	78	0	15	
BACT000004	6	0	7	
BACT000005	16	0	8	
BACT000006	0	0	5	
BACT000007	3	0	9	
BACT000008	3	0	6	
BACT000009	2	0	12	
BACT000010	0	0	3	
BACT000011	7	0	7	
BACT000012	0	0	9	
BACT000013	2	0	8	
BACT000014	1	706	2	
BACT000015	1	0	5	
BACT000016	11	0	11	
BACT000017	6	0	10	
BACT000018	0	598	3	
BACT000019	0	0	3	
BACT000020	1	0	8	
BACT000021	768	0	0	
BACT000030	5	211	9	
BACT000031	1	0	8	
BACT000032	2	0	8	
BACT000033	22	0	10	
BACT000034	3	0	10	
BACT000035	2	0	5	
BACT000036	52	0	9	
BACT000038	1	0	6	
BACT000039	4	0	9	
BACT000040	94	0	6	
BACT000042	1	0	9	
BACT000043	0	0	8	
BACT000044	7	0	6	
BACT000045	0	0	7	
BACT000046	1	0	15	
BACT000047	8	0	5	
BACT000048	0	0	6	
BACT000049	1	0	10	
BACT000050	4	0	5	
BACT000051	25	0	8	
BACT000052	1	0	2	
BACT000053	2	0	4	
BACT000056	0	0	4	
BACT000057	1	740	3	
BACT000058	0	0	5	
BACT000059	0	0	4	
BACT000060	1	0	2	
BACT000061	1	0	6	
BACT000062	0	649	5	
BACT000063	1	0	4	
BACT000064	0	0	6	
BACT000065	1	0	1	
MYCO000001	8	0	32	
MYCO000005	7	0	44	
MYCO000006	8	0	81	
MYCO000009	2	0	11	
MYCO000011	0	0	8	
MYCO000013	0	0	20	
MYCO000015	174	0	21	
MYCO000016	13	0	23	
MYCO000017	9	0	21	
MYCO000019	1	0	14	
MYCO000038	60	0	7	
MYCO000046	2	0	20	
MYCO000047	3	0	14	
MYCO000049	6	0	12	
MYCO000050	91	0	56	
MYCO000051	77	0	31	
MYCO000054	31	0	12	
MYCO000066	5	0	41	
MYCO000068	21	0	28	
MYCO000129	6	0	15	
MYCO000183	36	0	13	
MYCO000184	38	0	14	
MYCO000189	100	0	25	
MYCO000198	6	0	37	
MYCO000204	21	0	11	
MYCO000207	2	0	13	
MYCO000211	11	0	35	
MYCO000223	81	0	20	
MYCO000225	5	0	12	
MYCO000227	91	0	30	
MYCO000228	15	0	18	
MYCO000236	183	0	51	
MYCO000237	24	0	22	
MYCO000238	1	0	11	
MYCO000241	4	0	15	
MYCO000242	150	0	19	
MYCO000243	65	0	23	
MYCO000244	18	381	33	
MYCO000247	3	0	12	
MYCO000248	3	0	18	
MYCO000270	8	0	35	
MYCO000274	50	0	13	
MYCO000321	2	0	8	
MYCO000322	7	0	18	
MYCO000334	2	0	8	
MYCO000337	9	0	14	
MYCO000350	16	0	19	
MYCO000352	86	0	20	
MYCO000357	2	0	16	
MYCO000360	35	0	13	
MYCO000383	157	0	8	
MYCO000384	112	0	22	
MYCO000407	43	0	16	
MYCO000410	23	0	37	
MYCO000411	17	0	15	
MYCO000414	177	0	10	
MYCO000415	178	0	16	
MYCO000417	57	188	12	
MYCO000423	9	0	15	
MYCO000429	1	0	8	
MYCO000432	0	0	8	
MYCO000433	4	0	10	
MYCO000439	35	0	11	
MYCO000440	14	0	15	
MYCO000462	4	0	15	
MYCO000465	8	0	24	
MYCO000466	5	0	7	
MYCO000467	3	0	17	
MYCO000468	13	0	10	
MYCO000472	2	0	9	
MYCO000475	27	0	10	
MYCO000483	13	0	14	
MYCO000484	8	0	16	
MYCO000486	40	0	20	
