GbGDiv simplified results table from 'accumulate-26.txt' records table.
Isolate records read from table: 6649

Locus	Missing	Paralogous	CountNuc
id	0	0	6649	
isolate	0	0	6649	
rMLST_database_accession	0	0	6649	
BACT000001	17	0	95	
BACT000002	192	0	37	
BACT000003	646	0	45	
BACT000004	38	0	31	
BACT000005	112	0	34	
BACT000006	6	0	18	
BACT000007	16	0	19	
BACT000008	28	0	27	
BACT000009	31	0	30	
BACT000010	2	0	14	
BACT000011	56	0	25	
BACT000012	4	0	23	
BACT000013	18	0	29	
BACT000014	3	6105	2	
BACT000015	9	0	9	
BACT000016	54	0	34	
BACT000017	20	0	21	
BACT000018	1	5184	4	
BACT000019	2	0	13	
BACT000020	7	0	16	
BACT000021	6648	0	1	
BACT000030	67	1857	33	
BACT000031	5	0	31	
BACT000032	16	0	28	
BACT000033	182	0	33	
BACT000034	13	0	28	
BACT000035	7	0	30	
BACT000036	426	0	24	
BACT000038	30	0	21	
BACT000039	26	0	28	
BACT000040	808	0	18	
BACT000042	11	0	29	
BACT000043	6	0	24	
BACT000044	38	0	23	
BACT000045	30	0	20	
BACT000046	8	0	36	
BACT000047	87	0	18	
BACT000048	2	0	20	
BACT000049	8	0	21	
BACT000050	39	0	17	
BACT000051	203	0	32	
BACT000052	3	0	16	
BACT000053	7	0	18	
BACT000056	11	0	13	
BACT000057	6	6438	5	
BACT000058	1	1	15	
BACT000059	0	0	14	
BACT000060	4	0	12	
BACT000061	21	0	18	
BACT000062	2	5534	8	
BACT000063	3	1	15	
BACT000064	4	0	14	
BACT000065	5	0	5	
MYCO000001	49	0	142	
MYCO000005	42	0	163	
MYCO000006	72	0	269	
MYCO000009	20	0	40	
MYCO000011	13	0	30	
MYCO000013	9	0	67	
MYCO000015	1496	0	89	
MYCO000016	107	0	102	
MYCO000017	92	0	103	
MYCO000019	12	0	40	
MYCO000038	431	0	42	
MYCO000046	20	0	74	
MYCO000047	25	0	40	
MYCO000049	44	0	32	
MYCO000050	721	0	168	
MYCO000051	552	0	124	
MYCO000054	262	0	33	
MYCO000066	32	0	144	
MYCO000068	183	0	91	
MYCO000129	63	0	42	
MYCO000183	354	0	58	
MYCO000184	394	0	37	
MYCO000189	878	0	71	
MYCO000198	78	0	128	
MYCO000204	205	0	62	
MYCO000207	22	0	47	
MYCO000211	81	0	123	
MYCO000223	663	0	87	
MYCO000225	49	0	47	
MYCO000227	745	0	68	
MYCO000228	158	0	66	
MYCO000236	1507	0	197	
MYCO000237	167	0	83	
MYCO000238	24	0	41	
MYCO000241	44	0	67	
MYCO000242	1087	0	79	
MYCO000243	614	0	77	
MYCO000244	133	3317	88	
MYCO000247	16	0	37	
MYCO000248	40	0	68	
MYCO000270	58	0	104	
MYCO000274	421	0	48	
MYCO000321	12	0	33	
MYCO000322	85	0	63	
MYCO000334	10	0	38	
