GbGDiv simplified results table from 'accumulate-10.txt' records table.
Isolate records read from table: 2560

Locus	Missing	Paralogous	CountNuc
id	0	0	2560	
isolate	0	0	2560	
rMLST_database_accession	0	0	2560	
BACT000001	7	0	53	
BACT000002	76	0	26	
BACT000003	246	0	29	
BACT000004	21	0	16	
BACT000005	45	0	17	
BACT000006	1	0	12	
BACT000007	6	0	15	
BACT000008	12	0	10	
BACT000009	9	0	23	
BACT000010	1	0	6	
BACT000011	20	0	13	
BACT000012	2	0	16	
BACT000013	4	0	14	
BACT000014	1	2328	2	
BACT000015	1	0	9	
BACT000016	27	0	24	
BACT000017	10	0	16	
BACT000018	0	1982	3	
BACT000019	0	0	10	
BACT000020	3	0	13	
BACT000021	2560	0	0	
BACT000030	23	717	19	
BACT000031	2	0	15	
BACT000032	5	0	14	
BACT000033	68	0	21	
BACT000034	6	0	18	
BACT000035	3	0	19	
BACT000036	160	0	15	
BACT000038	12	0	14	
BACT000039	9	0	17	
BACT000040	310	0	12	
BACT000042	4	0	18	
BACT000043	0	0	16	
BACT000044	17	0	11	
BACT000045	14	0	14	
BACT000046	3	0	25	
BACT000047	34	0	8	
BACT000048	0	0	15	
BACT000049	1	0	14	
BACT000050	13	0	12	
BACT000051	77	0	16	
BACT000052	1	0	9	
BACT000053	2	0	7	
BACT000056	5	0	10	
BACT000057	1	2487	3	
BACT000058	1	0	11	
BACT000059	0	0	5	
BACT000060	2	0	4	
BACT000061	6	0	11	
BACT000062	1	2152	7	
BACT000063	1	0	8	
BACT000064	1	0	10	
BACT000065	3	0	1	
MYCO000001	18	0	86	
MYCO000005	20	0	102	
MYCO000006	28	0	147	
MYCO000009	6	0	18	
MYCO000011	8	0	14	
MYCO000013	2	0	38	
MYCO000015	572	0	49	
MYCO000016	41	0	60	
MYCO000017	40	0	52	
MYCO000019	4	0	24	
MYCO000038	175	0	21	
MYCO000046	7	0	50	
MYCO000047	12	0	25	
MYCO000049	15	0	23	
MYCO000050	280	0	104	
MYCO000051	218	0	73	
MYCO000054	102	0	19	
MYCO000066	15	0	82	
MYCO000068	72	0	59	
MYCO000129	23	0	23	
MYCO000183	128	0	29	
MYCO000184	134	0	22	
MYCO000189	328	0	44	
MYCO000198	24	0	81	
MYCO000204	80	0	33	
MYCO000207	9	0	26	
MYCO000211	31	0	76	
MYCO000223	266	0	49	
MYCO000225	18	0	27	
MYCO000227	280	0	44	
MYCO000228	48	0	42	
MYCO000236	594	0	108	
MYCO000237	75	0	52	
MYCO000238	7	0	26	
MYCO000241	16	0	40	
MYCO000242	436	0	46	
MYCO000243	225	0	39	
MYCO000244	53	1277	55	
MYCO000247	7	0	20	
MYCO000248	12	0	43	
MYCO000270	24	0	69	
MYCO000274	161	0	28	
MYCO000321	4	0	14	
MYCO000322	24	0	38	
MYCO000334	4	0	20	
MYCO000337	23	0	33	
MYCO000350	37	0	37	
MYCO000352	271	0	36	
MYCO000357	11	0	34	
MYCO000360	96	0	19	
MYCO000383	482	0	22	
MYCO000384	333	0	63	
MYCO000407	112	0	32	
MYCO000410	81	0	64	
MYCO000411	63	0	29	
MYCO000414	531	0	21	
MYCO000415	559	0	30	
MYCO000417	180	632	25	
MYCO000423	18	0	35	
MYCO000429	7	0	20	
MYCO000432	4	0	20	
MYCO000433	12	0	28	
MYCO000439	101	0	30	
MYCO000440	31	0	34	
MYCO000462	6	0	27	
MYCO000465	26	0	54	
MYCO000466	9	0	17	
MYCO000467	10	0	29	
MYCO000468	27	0	21	
MYCO000472	4	0	18	
MYCO000475	68	0	25	
MYCO000483	33	0	28	
MYCO000484	29	0	27	
MYCO000486	149	0	44	
MYCO000489	379	0	18	
MYCO000490	35	0	30	
MYCO000491	6	0	13	
MYCO000495	7	0	27	
MYCO000496	31	0	33	
MYCO000498	44	0	32	
MYCO000501	15	0	29	
MYCO000502	20	0	21	
MYCO000505	619	0	23	
MYCO000509	57	0	50	
MYCO000510	49	0	28	
MYCO000512	53	0	29	
MYCO000524	218	0	32	
MYCO000527	78	0	22	
MYCO000528	391	0	38	
MYCO000529	88	0	40	
MYCO000548	17	0	22	
MYCO000551	85	0	59	
MYCO000553	244	0	28	
MYCO000555	244	0	32	
MYCO000557	34	0	47	
MYCO000558	129	0	20	
MYCO000562	11	0	34	
MYCO000563	55	0	28	
MYCO000564	32	0	40	
MYCO000566	5	0	17	
MYCO000636	7	0	18	
MYCO000639	109	0	18	
MYCO000647	103	0	41	
MYCO000655	17	0	35	
MYCO000667	135	0	180	
MYCO000668	105	0	173	
MYCO000672	113	0	69	
MYCO000684	39	0	60	
MYCO000685	12	0	18	
MYCO000693	232	0	36	
MYCO000696	45	0	41	
MYCO000732	6	0	38	
MYCO000733	6	0	16	
MYCO000734	274	0	15	
MYCO000757	6	0	22	
MYCO000758	63	0	96	
MYCO000772	82	0	40	
MYCO000777	29	0	26	
MYCO000780	8	0	23	
MYCO000782	2499	0	4	
MYCO000788	72	0	17	
MYCO000803	63	0	61	
MYCO000808	47	0	44	
MYCO000809	4	0	24	
MYCO000810	0	0	5	
MYCO000814	491	11	13	
MYCO000815	39	4	29	
MYCO000820	10	0	18	
MYCO000821	15	0	13	
MYCO000823	51	0	38	
MYCO000824	6	0	21	
MYCO000859	39	0	51	
MYCO000860	172	0	66	
MYCO000861	22	0	44	
MYCO000871	8	0	8	
MYCO000876	3	0	47	
MYCO000884	8	0	36	
MYCO000885	36	0	27	
MYCO000886	593	0	45	
MYCO000889	513	0	36	
MYCO000896	36	0	34	
MYCO000902	21	0	14	
MYCO000903	6	0	10	
MYCO000906	656	0	35	
MYCO000926	11	0	51	
MYCO000927	109	0	23	
MYCO000929	229	0	20	
MYCO000946	30	0	49	
MYCO000949	120	0	75	
MYCO000951	22	0	38	
MYCO000952	47	0	28	
MYCO000953	186	0	37	
MYCO000957	262	0	35	
MYCO000981	30	0	22	
MYCO000983	319	0	45	
MYCO000993	81	0	24	
MYCO000994	169	0	38	
MYCO000995	9	0	19	
MYCO001001	24	0	48	
MYCO001002	40	0	45	
MYCO001007	7	0	43	
MYCO001008	142	0	25	
MYCO001009	135	0	25	
MYCO001010	51	0	31	
MYCO001011	17	0	24	
MYCO001013	34	0	43	
MYCO001014	21	0	27	
MYCO001015	16	0	21	
MYCO001017	2	0	21	
MYCO001018	24	0	50	
MYCO001020	291	0	112	
MYCO001022	131	0	21	
MYCO001023	91	0	41	
MYCO001026	179	0	30	
MYCO001070	8	0	18	
MYCO001071	12	0	40	
MYCO001072	2	0	21	
MYCO001077	44	0	48	
MYCO001079	47	0	27	
MYCO001080	143	0	13	
MYCO001082	20	0	23	
MYCO001086	37	0	30	
MYCO001092	70	0	27	
MYCO001094	45	0	16	
MYCO001095	58	0	34	
MYCO001098	45	0	27	
MYCO001099	152	0	33	
MYCO001108	45	0	40	
MYCO001110	7	0	26	
MYCO001112	324	0	33	
MYCO001165	117	0	64	
MYCO001173	147	0	64	
MYCO001177	11	0	6	
MYCO001178	104	0	37	
MYCO001193	249	0	35	
MYCO001201	150	0	28	
MYCO001202	119	0	30	
MYCO001207	172	0	33	
MYCO001208	17	0	25	
MYCO001213	128	0	44	
MYCO001220	144	0	10	
MYCO001221	1	0	20	
MYCO001223	416	0	46	
MYCO001229	71	0	31	
MYCO001238	29	0	25	
MYCO001239	8	0	30	
MYCO001245	62	0	34	
MYCO001248	295	0	94	
MYCO001253	106	0	62	
MYCO001272	198	0	51	
MYCO001273	14	0	52	
MYCO001277	289	0	34	
MYCO001292	24	0	40	
MYCO001293	35	0	36	
MYCO001294	43	0	33	
MYCO001295	39	0	34	
MYCO001297	213	0	43	
MYCO001299	25	0	23	
MYCO001302	10	0	27	
MYCO001305	7	0	7	
MYCO001308	43	0	37	
MYCO001309	8	0	29	
MYCO001310	12	0	28	
MYCO001311	12	0	17	
MYCO001315	16	0	27	
MYCO001321	40	0	27	
MYCO001323	59	0	35	
MYCO001326	31	0	66	
MYCO001327	44	0	42	
MYCO001328	89	0	79	
MYCO001338	77	0	21	
MYCO001340	34	0	18	
MYCO001380	34	0	28	
MYCO001381	272	0	33	
MYCO001383	19	0	30	
MYCO001384	244	0	109	
MYCO001385	415	0	26	
MYCO001388	3	0	19	
MYCO001390	1	0	9	
MYCO001391	458	0	44	
MYCO001392	255	0	50	
MYCO001402	1042	0	43	
MYCO001407	357	0	52	
MYCO001408	83	0	17	
MYCO001410	7	0	33	
MYCO001412	14	0	20	
MYCO001415	12	0	33	
MYCO001416	4	0	18	
MYCO001420	19	0	48	
MYCO001421	15	0	26	
MYCO001436	5	0	28	
MYCO001437	27	0	32	
MYCO001438	6	0	19	
MYCO001440	11	0	10	
MYCO001445	156	0	28	
MYCO001447	300	0	57	
MYCO001448	28	0	36	
MYCO001449	135	0	55	
MYCO001451	60	0	32	
MYCO001457	5	0	22	
MYCO001458	14	0	31	
MYCO001462	33	0	40	
MYCO001463	9	0	22	
MYCO001464	130	0	37	
MYCO001465	6	0	10	
MYCO001466	2	0	8	
MYCO001467	53	1280	43	
MYCO001473	24	0	39	
MYCO001474	84	0	15	
MYCO001475	14	0	58	
MYCO001479	58	0	29	
MYCO001480	78	0	33	
MYCO001481	14	0	30	
MYCO001483	72	0	14	
MYCO001484	19	0	27	
MYCO001485	74	0	21	
