GbGDiv simplified results table from 'accumulate-18.txt' records table.
Isolate records read from table: 4608

Locus	Missing	Paralogous	CountNuc
id	0	0	4608	
isolate	0	0	4608	
rMLST_database_accession	0	0	4608	
BACT000001	11	0	76	
BACT000002	131	0	32	
BACT000003	447	0	37	
BACT000004	29	0	27	
BACT000005	76	0	29	
BACT000006	4	0	16	
BACT000007	11	0	18	
BACT000008	22	0	20	
BACT000009	20	0	27	
BACT000010	1	0	9	
BACT000011	35	0	20	
BACT000012	2	0	18	
BACT000013	10	0	22	
BACT000014	2	4215	2	
BACT000015	1	0	9	
BACT000016	43	0	26	
BACT000017	16	0	19	
BACT000018	1	3592	3	
BACT000019	1	0	11	
BACT000020	5	0	15	
BACT000021	4607	0	1	
BACT000030	41	1277	27	
BACT000031	2	0	25	
BACT000032	10	0	21	
BACT000033	130	0	31	
BACT000034	11	0	22	
BACT000035	4	0	24	
BACT000036	292	0	21	
BACT000038	20	0	19	
BACT000039	17	0	22	
BACT000040	545	0	16	
BACT000042	6	0	24	
BACT000043	3	0	24	
BACT000044	27	0	17	
BACT000045	21	0	19	
BACT000046	4	0	29	
BACT000047	63	0	12	
BACT000048	1	0	16	
BACT000049	3	0	16	
BACT000050	24	0	15	
BACT000051	142	0	22	
BACT000052	1	0	13	
BACT000053	4	0	14	
BACT000056	7	0	13	
BACT000057	2	4469	3	
BACT000058	1	1	12	
BACT000059	0	0	11	
BACT000060	2	0	8	
BACT000061	10	0	14	
BACT000062	1	3852	7	
BACT000063	2	1	12	
BACT000064	3	0	13	
BACT000065	3	0	3	
MYCO000001	29	0	119	
MYCO000005	29	0	136	
MYCO000006	49	0	222	
MYCO000009	11	0	33	
MYCO000011	9	0	26	
MYCO000013	4	0	59	
MYCO000015	1020	0	73	
MYCO000016	73	0	87	
MYCO000017	60	0	79	
MYCO000019	8	0	32	
MYCO000038	305	0	36	
MYCO000046	15	0	63	
MYCO000047	17	0	32	
MYCO000049	24	0	28	
MYCO000050	513	0	147	
MYCO000051	390	0	109	
MYCO000054	185	0	31	
MYCO000066	23	0	117	
MYCO000068	125	0	82	
MYCO000129	39	0	35	
MYCO000183	234	0	51	
MYCO000184	262	0	26	
MYCO000189	583	0	60	
MYCO000198	51	0	105	
MYCO000204	140	0	48	
MYCO000207	13	0	36	
MYCO000211	57	0	103	
MYCO000223	476	0	75	
MYCO000225	31	0	33	
MYCO000227	512	0	54	
MYCO000228	103	0	53	
MYCO000236	1038	0	164	
MYCO000237	114	0	66	
MYCO000238	17	0	34	
MYCO000241	31	0	57	
MYCO000242	758	0	64	
MYCO000243	423	0	63	
MYCO000244	89	2311	72	
MYCO000247	12	0	27	
MYCO000248	25	0	62	
MYCO000270	42	0	92	
MYCO000274	296	0	38	
MYCO000321	11	0	23	
MYCO000322	55	0	51	
MYCO000334	4	0	30	
MYCO000337	42	0	46	
MYCO000350	74	0	56	
MYCO000352	481	0	46	
MYCO000357	16	0	49	
MYCO000360	162	0	26	
MYCO000383	855	0	26	
MYCO000384	587	0	92	
MYCO000407	210	0	53	
MYCO000410	138	0	94	
MYCO000411	114	0	40	
MYCO000414	958	0	30	
MYCO000415	1007	0	43	
MYCO000417	321	1141	31	
MYCO000423	28	0	49	
MYCO000429	10	0	31	
MYCO000432	13	0	27	
MYCO000433	27	0	42	
MYCO000439	176	0	46	
MYCO000440	52	0	52	
MYCO000462	11	0	39	
MYCO000465	40	0	71	
MYCO000466	19	0	29	
MYCO000467	19	0	43	
MYCO000468	38	0	35	
MYCO000472	10	0	29	
MYCO000475	109	0	33	
MYCO000483	51	0	49	
MYCO000484	44	0	33	
MYCO000486	277	0	61	
MYCO000489	679	0	26	
MYCO000490	59	0	40	
MYCO000491	7	0	18	
MYCO000495	12	0	39	
MYCO000496	56	0	40	
MYCO000498	80	0	44	
MYCO000501	24	0	42	
MYCO000502	38	0	38	
MYCO000505	1108	0	34	
MYCO000509	103	0	62	
MYCO000510	80	0	34	
MYCO000512	101	0	33	
MYCO000524	373	0	52	
MYCO000527	139	0	35	
MYCO000528	704	0	53	
MYCO000529	164	0	51	
MYCO000548	29	0	31	
MYCO000551	159	0	84	
MYCO000553	443	0	39	
MYCO000555	419	0	48	
MYCO000557	52	0	62	
MYCO000558	225	0	26	
MYCO000562	22	0	46	
MYCO000563	97	0	41	
MYCO000564	51	0	55	
MYCO000566	13	0	21	
MYCO000636	8	0	20	
MYCO000639	183	0	23	
MYCO000647	174	0	59	
MYCO000655	25	0	48	
MYCO000667	227	0	246	
MYCO000668	186	0	237	
MYCO000672	194	0	82	
MYCO000684	69	0	85	
MYCO000685	17	0	30	
MYCO000693	428	0	47	
MYCO000696	75	0	63	
MYCO000732	11	0	51	
MYCO000733	9	0	20	
MYCO000734	480	0	28	
MYCO000757	10	0	27	
MYCO000758	121	0	143	
MYCO000772	147	0	53	
MYCO000777	52	0	40	
MYCO000780	15	0	36	
MYCO000782	4498	0	5	
MYCO000788	135	0	24	
MYCO000803	104	0	80	
MYCO000808	79	0	66	
MYCO000809	7	0	36	
MYCO000810	4	0	8	
MYCO000814	912	17	13	
MYCO000815	62	5	40	
MYCO000820	14	0	27	
MYCO000821	25	0	18	
MYCO000823	97	0	52	
MYCO000824	9	0	22	
MYCO000859	67	0	70	
MYCO000860	284	0	96	
MYCO000861	40	0	62	
MYCO000871	13	0	12	
MYCO000876	5	0	65	
MYCO000884	14	0	48	
MYCO000885	61	0	34	
MYCO000886	1075	0	69	
MYCO000889	914	0	52	
MYCO000896	61	0	54	
MYCO000902	37	0	30	
MYCO000903	8	0	12	
MYCO000906	1185	0	48	
MYCO000926	21	0	65	
MYCO000927	206	0	35	
MYCO000929	412	0	29	
MYCO000946	47	0	70	
MYCO000949	194	0	95	
MYCO000951	41	0	49	
MYCO000952	82	0	41	
MYCO000953	334	0	50	
MYCO000957	490	0	53	
MYCO000981	48	0	28	
MYCO000983	573	0	60	
MYCO000993	142	0	31	
MYCO000994	299	0	54	
MYCO000995	19	0	29	
MYCO001001	42	0	60	
MYCO001002	66	0	67	
MYCO001007	13	0	61	
MYCO001008	262	0	37	
MYCO001009	233	0	39	
MYCO001010	95	0	47	
MYCO001011	37	0	31	
MYCO001013	54	0	57	
MYCO001014	35	0	35	
MYCO001015	31	0	29	
MYCO001017	6	0	29	
MYCO001018	53	0	66	
MYCO001020	527	0	156	
MYCO001022	218	0	32	
MYCO001023	161	0	51	
MYCO001026	299	0	39	
MYCO001070	25	0	23	
MYCO001071	19	0	56	
MYCO001072	4	0	30	
MYCO001077	71	0	62	
MYCO001079	84	0	39	
MYCO001080	254	0	18	
MYCO001082	42	0	32	
MYCO001086	66	0	39	
MYCO001092	119	0	33	
MYCO001094	80	0	22	
MYCO001095	112	0	48	
MYCO001098	82	0	42	
MYCO001099	280	0	42	
MYCO001108	83	0	50	
MYCO001110	14	0	33	
MYCO001112	594	0	42	
MYCO001165	211	0	83	
MYCO001173	263	0	93	
MYCO001177	16	0	8	
MYCO001178	170	0	52	
MYCO001193	434	0	48	
MYCO001201	266	0	40	
MYCO001202	211	0	34	
MYCO001207	317	0	44	
MYCO001208	30	0	32	
MYCO001213	218	0	57	
MYCO001220	263	0	20	
MYCO001221	6	0	31	
MYCO001223	745	0	67	
MYCO001229	131	0	48	
MYCO001238	52	0	36	
MYCO001239	17	0	46	
MYCO001245	95	0	46	
MYCO001248	517	0	140	
MYCO001253	206	0	76	
MYCO001272	349	0	65	
MYCO001273	23	0	74	
MYCO001277	502	0	42	
MYCO001292	39	0	67	
MYCO001293	60	0	48	
MYCO001294	79	0	48	
MYCO001295	64	0	43	
MYCO001297	384	0	58	
MYCO001299	43	0	29	
MYCO001302	15	0	33	
MYCO001305	8	0	9	
MYCO001308	76	0	50	
MYCO001309	15	0	40	
MYCO001310	22	0	41	
MYCO001311	17	0	23	
MYCO001315	24	0	38	
MYCO001321	69	0	30	
MYCO001323	96	0	51	
MYCO001326	56	0	85	
MYCO001327	81	0	71	
MYCO001328	159	0	110	
MYCO001338	126	0	31	
MYCO001340	61	0	27	
MYCO001380	54	0	33	
MYCO001381	486	0	48	
MYCO001383	41	0	42	
MYCO001384	431	0	149	
MYCO001385	716	0	37	
MYCO001388	5	0	24	
MYCO001390	2	0	14	
MYCO001391	816	0	56	
MYCO001392	454	0	65	
MYCO001402	1880	0	63	
MYCO001407	627	0	72	
MYCO001408	152	0	29	
MYCO001410	13	0	56	
MYCO001412	19	0	28	
MYCO001415	24	0	45	
MYCO001416	8	0	20	
MYCO001420	29	0	69	
MYCO001421	26	0	37	
MYCO001436	10	0	43	
MYCO001437	51	0	46	
MYCO001438	24	0	30	
MYCO001440	23	0	13	
MYCO001445	296	0	34	
MYCO001447	550	0	86	
MYCO001448	56	0	48	
MYCO001449	237	0	77	
MYCO001451	92	0	39	
MYCO001457	9	0	29	
MYCO001458	23	0	40	
MYCO001462	60	0	55	
MYCO001463	17	0	27	
MYCO001464	240	0	49	
MYCO001465	16	0	15	
MYCO001466	9	0	9	
MYCO001467	89	2348	58	
MYCO001473	44	0	51	
MYCO001474	151	0	18	
MYCO001475	26	0	81	
MYCO001479	101	0	45	
MYCO001480	140	0	42	
MYCO001481	24	0	39	
MYCO001483	123	0	22	
MYCO001484	33	0	36	
MYCO001485	138	0	33	
MYCO001493	730	0	68	
MYCO001536	158	0	124	
MYCO001540	30	0	51	
MYCO001547	172	0	106	
MYCO001557	775	0	56	
MYCO001559	1006	0	60	
MYCO001564	55	0	85	
MYCO001568	276	0	48	
MYCO001569	873	0	32	
MYCO001589	17	0	32	
MYCO001593	4	0	28	
MYCO001594	58	0	47	
MYCO001595	501	0	63	
MYCO001599	422	0	50	
MYCO001600	10	0	46	
MYCO001601	2	0	25	
MYCO001603	12	0	34	
MYCO001605	19	0	31	
MYCO001609	103	0	68	
MYCO001611	78	0	26	
MYCO001612	11	0	52	
MYCO001617	59	0	61	
MYCO001626	24	0	26	
MYCO001627	139	0	37	
MYCO001629	159	0	121	
MYCO001633	594	0	89	
MYCO001638	218	0	115	
MYCO001641	4608	0	0	
MYCO001649	355	0	40	
MYCO001652	254	0	41	
MYCO001653	803	0	36	
MYCO001654	125	0	26	
MYCO001655	501	0	50	
MYCO001656	375	0	34	
MYCO001657	419	0	18	
MYCO001658	142	0	52	
MYCO001659	425	0	49	
MYCO001689	15	0	43	
MYCO001694	164	0	40	
MYCO001695	5	0	39	
MYCO001697	7	0	31	
MYCO001699	24	0	96	
MYCO001701	70	0	28	
MYCO001708	23	0	30	
MYCO001709	7	0	42	
MYCO001711	4	0	36	
MYCO001712	30	0	30	
MYCO001713	212	0	56	
MYCO001821	49	0	96	
MYCO001827	7	0	21	
MYCO001829	50	0	21	
MYCO001830	26	0	60	
MYCO001832	130	0	119	
MYCO001837	120	0	93	
MYCO001842	92	0	73	
MYCO001843	115	0	66	
MYCO001844	66	0	78	
MYCO001854	51	0	62	
MYCO001886	94	0	48	
MYCO001894	202	0	61	
MYCO001981	21	0	27	
MYCO002050	5	0	13	
MYCO002089	346	0	55	
MYCO002090	4505	0	10	
MYCO002092	550	0	113	
MYCO002093	48	0	32	
MYCO002096	32	0	48	
MYCO002097	102	0	42	
MYCO002109	17	0	32	
MYCO002110	55	0	38	
MYCO002111	132	0	10	
MYCO002112	2018	0	54	
MYCO002115	45	0	75	
MYCO002118	18	0	25	
MYCO002119	32	0	43	
MYCO002121	65	0	28	
MYCO002122	4	0	14	
MYCO002125	42	0	30	
MYCO002130	578	0	37	
MYCO002134	26	0	22	
MYCO002139	92	0	44	
MYCO002140	2	0	23	
MYCO002141	78	0	62	
MYCO002145	66	0	28	
MYCO002150	287	0	33	
MYCO002151	305	0	25	
MYCO002153	883	0	61	
MYCO002154	977	0	36	
MYCO002155	747	0	89	
MYCO002156	19	0	47	
MYCO002157	2011	0	49	
MYCO002163	194	0	70	
MYCO002166	18	0	13	
MYCO002170	552	0	28	
MYCO002176	125	0	50	
MYCO002178	24	0	34	
MYCO002179	97	0	15	
MYCO002182	33	0	28	
MYCO002186	4	0	14	
MYCO002187	1306	0	65	
MYCO002188	49	0	57	
MYCO002192	139	0	39	
MYCO002193	8	0	20	
MYCO002194	42	0	38	
MYCO002195	25	0	49	
MYCO002196	22	0	69	
MYCO002199	2	0	19	
MYCO002200	29	0	41	
MYCO002201	194	0	65	
MYCO002202	207	0	44	
MYCO002210	95	0	44	
MYCO002211	134	0	56	
MYCO002213	240	0	79	
MYCO002216	43	0	51	
MYCO002217	241	0	38	
MYCO002218	199	0	47	
MYCO002219	150	0	29	
MYCO002220	31	0	55	
MYCO002221	1024	0	95	
MYCO002222	49	0	52	
MYCO002225	146	0	43	
MYCO002228	65	0	47	
MYCO002230	301	0	45	
MYCO002235	85	0	42	
MYCO002239	2	0	20	
MYCO002241	580	0	71	
MYCO002242	203	0	38	
MYCO002243	486	0	35	
MYCO002244	5	0	7	
MYCO002245	80	0	46	
MYCO002246	52	0	43	
MYCO002247	202	0	49	
MYCO002257	47	0	39	
MYCO002259	237	0	38	
MYCO002315	807	0	66	
MYCO002343	226	0	66	
MYCO002344	720	0	41	
MYCO002357	15	0	33	
MYCO002361	12	0	27	
MYCO002362	133	0	27	
MYCO002364	10	0	36	
MYCO002366	16	0	61	
MYCO002367	7	0	20	
MYCO002368	48	0	42	
MYCO002373	71	0	43	
MYCO002374	148	0	52	
MYCO002399	66	0	36	
MYCO002400	52	0	52	
MYCO002402	75	0	102	
MYCO002404	36	0	80	
MYCO002409	18	0	31	
MYCO002410	10	0	29	
MYCO002411	111	0	64	
MYCO002413	168	0	39	
MYCO002420	198	0	23	
MYCO002421	1	0	16	
MYCO002425	369	0	40	
MYCO002426	1305	0	49	
MYCO002427	397	0	49	
MYCO002439	705	0	34	
MYCO002440	115	0	67	
MYCO002445	27	0	14	
MYCO002447	85	0	64	
MYCO002448	197	0	102	
MYCO002454	31	0	48	
MYCO002455	82	0	61	
MYCO002457	32	0	37	
MYCO002460	5	0	18	
MYCO002461	10	0	25	
MYCO002462	295	0	47	
