GbGDiv simplified results table from 'accumulate-29.txt' records table.
Isolate records read from table: 7414

Locus	Missing	Paralogous	CountNuc
id	0	0	7414	
isolate	0	0	7413	
rMLST_database_accession	0	0	7414	
BACT000001	20	0	102	
BACT000002	210	0	39	
BACT000003	725	0	45	
BACT000004	40	0	32	
BACT000005	123	0	36	
BACT000006	7	0	19	
BACT000007	16	0	21	
BACT000008	30	0	28	
BACT000009	32	0	32	
BACT000010	3	0	14	
BACT000011	59	0	26	
BACT000012	4	0	24	
BACT000013	18	0	29	
BACT000014	3	6817	2	
BACT000015	10	0	9	
BACT000016	55	0	35	
BACT000017	25	0	22	
BACT000018	1	5789	4	
BACT000019	3	0	14	
BACT000020	7	0	16	
BACT000021	7413	0	1	
BACT000030	78	2077	35	
BACT000031	5	0	33	
BACT000032	16	0	29	
BACT000033	198	0	37	
BACT000034	13	0	30	
BACT000035	7	0	30	
BACT000036	471	0	25	
BACT000038	34	0	21	
BACT000039	27	0	28	
BACT000040	887	0	22	
BACT000042	11	0	31	
BACT000043	6	0	25	
BACT000044	41	0	24	
BACT000045	31	0	22	
BACT000046	8	0	39	
BACT000047	94	0	19	
BACT000048	2	0	21	
BACT000049	9	0	21	
BACT000050	41	0	17	
BACT000051	222	0	33	
BACT000052	3	0	17	
BACT000053	7	0	18	
BACT000056	11	0	13	
BACT000057	6	7176	6	
BACT000058	1	1	15	
BACT000059	0	0	14	
BACT000060	4	0	12	
BACT000061	22	0	18	
BACT000062	3	6183	8	
BACT000063	3	1	16	
BACT000064	5	0	15	
BACT000065	5	0	6	
MYCO000001	53	0	154	
MYCO000005	43	0	174	
MYCO000006	74	0	291	
MYCO000009	21	0	40	
MYCO000011	13	0	31	
MYCO000013	10	0	69	
MYCO000015	1656	0	97	
MYCO000016	116	0	107	
MYCO000017	96	0	107	
MYCO000019	12	0	42	
MYCO000038	477	0	43	
MYCO000046	22	0	78	
MYCO000047	27	0	42	
MYCO000049	50	0	32	
MYCO000050	802	0	178	
MYCO000051	617	0	133	
MYCO000054	288	0	33	
MYCO000066	36	0	150	
MYCO000068	208	0	96	
MYCO000129	71	0	42	
MYCO000183	388	0	63	
MYCO000184	436	0	42	
MYCO000189	973	0	77	
MYCO000198	83	0	132	
MYCO000204	230	0	65	
MYCO000207	25	0	51	
MYCO000211	87	0	131	
MYCO000223	743	0	89	
MYCO000225	50	0	50	
MYCO000227	828	0	70	
MYCO000228	173	0	77	
MYCO000236	1662	0	212	
MYCO000237	183	0	89	
MYCO000238	24	0	42	
MYCO000241	48	0	75	
MYCO000242	1227	0	79	
MYCO000243	674	0	79	
