GbGDiv simplified results table from 'accumulate-3.txt' records table.
Isolate records read from table: 11

Locus	Missing	Paralogous	CountNuc
id	0	0	11	
isolate	0	0	11	
species	0	0	6	
MYCO000001	5	0	2	
MYCO000005	2	0	6	
MYCO000006	1	0	8	
MYCO000009	0	0	6	
MYCO000011	1	0	5	
MYCO000013	2	0	6	
MYCO000015	5	0	3	
MYCO000016	1	0	5	
MYCO000017	1	0	5	
MYCO000019	0	0	6	
MYCO000002	4	0	3	
MYCO000003	1	0	7	
MYCO000004	5	0	2	
MYCO000007	5	0	2	
MYCO000008	5	0	2	
MYCO000010	6	0	1	
MYCO000012	5	0	4	
MYCO000014	1	0	6	
MYCO000018	5	0	3	
MYCO000020	4	0	5	
MYCO000021	5	0	2	
MYCO000022	5	0	1	
MYCO000023	3	0	3	
MYCO000024	6	0	1	
MYCO000025	6	0	2	
