GbGDiv simplified results table from 'accumulate-2.txt' records table.
Isolate records read from table: 8

Locus	Missing	Paralogous	CountNuc
id	0	0	8	
isolate	0	0	8	
species	0	0	4	
MYCO000001	3	0	1	
MYCO000005	2	0	3	
MYCO000006	1	0	5	
MYCO000009	0	0	4	
MYCO000011	1	0	3	
MYCO000013	2	0	3	
MYCO000015	3	0	2	
MYCO000016	1	0	3	
MYCO000017	1	0	3	
MYCO000019	0	0	4	
MYCO000002	2	0	2	
MYCO000003	1	0	4	
MYCO000004	3	0	1	
MYCO000007	3	0	1	
MYCO000008	3	0	2	
MYCO000010	3	0	1	
MYCO000012	3	0	3	
MYCO000014	1	0	4	
MYCO000018	3	0	2	
MYCO000020	2	0	4	
MYCO000021	3	0	1	
MYCO000022	3	0	1	
MYCO000023	3	0	1	
MYCO000024	3	0	1	
MYCO000025	4	0	1	
